k_ep,k_run,t,Policy_Trg_Action,Policy_Flip_Action,mu,sigma,policy,x,y,z,vx,vy,vz,D_perp,Tau,Tau_est,Theta_x,Theta_x_est,Theta_y,Theta_y_est,flip_flag,impact_flag,eul_x,eul_y,eul_z,wx,wy,wz,qx,qy,qz,qw,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: PARAM_OPTIM, SAR_Type: Source_One_V5, SAR_Config: Base_Model}, PLANE_SETTINGS: {Plane_Config: Checkerboard_L02}, 
0,0,12.532,0.000,0.000,--,--,--, 0.027, 1.107,-0.024, 0.015, 0.730,-0.014, 2.024, 0.000, 0.000, 0.007, 0.000, 0.359,0.000,False,False,-0.000,-0.000, 0.000,-0.020, 0.010,-0.009,-0.000,-0.000,-0.000, 1.000, 6.323, 0.461,-0.003, 0.010, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,12.591,0.000,0.000,--,--,--, 0.028, 1.152,-0.025, 0.015, 0.743,-0.014, 2.025, 0.000, 0.000, 0.008, 0.000, 0.364,0.000,False,False,-0.159,-0.000,-0.000,-0.010,-0.010,-0.002,-0.001, 0.000,-0.000, 1.000, 6.326, 0.498,-0.032, 0.005, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,12.627,0.000,0.000,--,--,--, 0.029, 1.182,-0.025, 0.014, 0.757,-0.015, 2.025, 0.000, 0.000, 0.007, 0.000, 0.373,0.000,False,False,-0.000,-0.000, 0.000, 0.030,-0.040, 0.000,-0.000,-0.000,-0.000, 1.000, 6.326, 0.498,-0.032, 0.005, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,12.687,0.000,0.000,--,--,--, 0.030, 1.228,-0.026, 0.017, 0.773,-0.016, 2.025, 0.000, 0.000, 0.007, 0.000, 0.373,0.000,False,False,-0.159,-0.000, 0.000,-0.040, 0.030, 0.009,-0.001,-0.000,-0.000, 1.000, 6.329, 0.562,-0.063, 0.004, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,12.735,0.000,0.000,--,--,--, 0.030, 1.259,-0.027, 0.016, 0.779,-0.015, 2.027, 0.000, 0.000, 0.008, 0.000, 0.383,0.000,False,False,-0.159, 0.159,-0.000,-0.050, 0.050, 0.004,-0.001, 0.001,-0.000, 1.000, 6.329, 0.562,-0.063, 0.004, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,12.747,0.000,0.000,--,--,--, 0.031, 1.274,-0.027, 0.015, 0.783,-0.016, 2.028, 0.000, 0.000, 0.007, 0.000, 0.389,0.000,False,False,-0.159, 0.159,-0.000,-0.040, 0.030,-0.001,-0.001, 0.001,-0.000, 1.000, 6.328, 0.593,-0.066, 0.001, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,12.831,0.000,0.000,--,--,--, 0.032, 1.338,-0.029, 0.015, 0.806,-0.017, 2.028, 0.000, 0.000, 0.007, 0.000, 0.395,0.000,False,False,-0.317, 0.159,-0.000, 0.000, 0.000,-0.004,-0.003, 0.001,-0.000, 1.000, 6.328, 0.593,-0.066, 0.001, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,12.891,0.000,0.000,--,--,--, 0.033, 1.387,-0.030, 0.014, 0.818,-0.017, 2.029, 0.000, 0.000, 0.007, 0.000, 0.401,0.000,False,False,-0.317, 0.159,-0.000,-0.010, 0.000,-0.002,-0.003, 0.001,-0.000, 1.000, 6.329, 0.594,-0.039,-0.004, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,12.927,0.000,0.000,--,--,--, 0.033, 1.420,-0.030, 0.015, 0.828,-0.017, 2.030, 0.000, 0.000, 0.007, 0.000, 0.407,0.000,False,False,-0.317, 0.159,-0.000, 0.010,-0.020, 0.001,-0.003, 0.001,-0.000, 1.000, 6.329, 0.594,-0.039,-0.004, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
