K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Source_One_V5, SAR_Config: A15_L250}, LEG_SETTINGS: {L_eff: 0.264, Gamma_eff: 14, K_Pitch: 20.0, K_Yaw: 20.0}, 
0,0, 216.818, 0.000,0.0,--,--,--, 2.305, 5.000, 5.000, 0.009, 0.02,   5.19, 0.03, 0.04,   7.02, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.04, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00,-0.01, 0.00, 0.00, 0.40, 2719.980,-3.340, 0.890, 0.366, 16.92, 0.00, 13.28, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 216.888, 0.000,0.0,--,--,--, 2.305, 5.000, 5.000, 0.009, 0.02,   8.13, 0.00, 0.04,   8.10, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.04, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00, 0.00, 0.00, 0.00, 0.60, 2719.980,-3.340, 0.890, 0.366, 16.92, 0.00, 13.28, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 216.937, 0.000,0.0,--,--,--, 2.305, 5.000, 5.000, 0.009, 0.02,   8.13, 0.02, 0.04,   7.89, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.04, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00,-0.01, 0.00, 0.00,-0.10, 2719.980,-3.340, 0.899, 0.362, 17.14, 0.00, 13.49, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 216.983, 0.000,0.0,--,--,--, 2.305, 5.000, 5.000, 0.009, 0.02,   8.13, 0.01, 0.04,   7.98, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.04, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00,-0.01, 0.00, 0.00, 0.00, 2719.980,-3.340, 0.899, 0.362, 17.14, 0.00, 13.49, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 217.041, 0.000,0.0,--,--,--, 2.305, 5.000, 5.000, 0.009, 0.02,   8.13, 0.00, 0.04,   7.87, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.04, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00, 0.00, 0.00, 0.00, 0.00, 2719.980,-3.340, 0.816, 0.362, 17.24, 0.00, 13.59, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 217.084, 0.000,0.0,--,--,--, 2.305, 5.000, 5.000, 0.009, 0.02,   7.77, 0.03, 0.04,   8.32, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.04, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00, 0.00, 0.00, 0.00, 0.10, 2719.980,-3.340, 0.816, 0.362, 17.24, 0.00, 13.59, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 217.131, 0.000,0.0,--,--,--, 2.305, 5.000, 5.000, 0.009, 0.02,   8.13, 0.02, 0.04,   8.65, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.04, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00, 0.00, 0.00, 0.00, 0.00, 2719.980,-3.340, 0.879, 0.367, 17.35, 0.00, 13.70, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 217.186, 0.000,0.0,--,--,--, 2.305, 5.000, 5.000, 0.009, 0.02,   5.44, 0.01, 0.04,   8.30, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.04, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00,-0.01,-0.01, 0.00,-0.30, 2719.980,-3.340, 0.879, 0.367, 17.35, 0.00, 13.70, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 217.243, 0.000,0.0,--,--,--, 2.305, 5.000, 5.000, 0.009, 0.02,   5.71,-0.01, 0.04,   6.83, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.03, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00, 0.00, 0.00, 0.00, 0.10, 2719.980,-3.340, 0.860, 0.363, 17.45, 0.00, 13.81, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 217.278, 0.000,0.0,--,--,--, 2.305, 5.000, 5.000, 0.009, 0.02,   5.71, 0.02, 0.04,   6.00, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.03, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00, 0.00,-0.01, 0.00,-0.40, 2719.980,-3.340, 0.860, 0.363, 17.45, 0.00, 13.81, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 217.340, 0.000,0.0,--,--,--, 2.306, 5.000, 5.000, 0.008, 0.02,   5.71, 0.01, 0.04,   6.35, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.03, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00, 0.00,-0.01, 0.00,-0.10, 2719.980,-3.340, 0.861, 0.367, 17.56, 0.00, 13.91, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 217.392, 0.000,0.0,--,--,--, 2.306, 5.000, 5.000, 0.009, 0.02,   5.71, 0.00, 0.04,   6.76, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.03, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00,-0.01, 0.00, 0.00, 0.20, 2719.980,-3.340, 0.861, 0.367, 17.56, 0.00, 13.91, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 217.437, 0.000,0.0,--,--,--, 2.306, 5.000, 5.000, 0.008, 0.02,   2.86, 0.00, 0.04,   5.17, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.03, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00, 0.00,-0.01, 0.00,-0.10, 2719.980,-3.340, 0.880, 0.367, 17.67, 0.00, 14.02, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 217.483, 0.000,0.0,--,--,--, 2.306, 5.000, 5.000, 0.008, 0.02,   2.86, 0.00, 0.04,   4.57, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.03, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00, 0.00, 0.00, 0.00, 0.00, 2719.980,-3.340, 0.880, 0.367, 17.67, 0.00, 14.02, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 217.529, 0.000,0.0,--,--,--, 2.306, 5.000, 5.000, 0.009, 0.02,   2.86, 0.01, 0.04,   4.74, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.03, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00, 0.00,-0.01, 0.00,-0.20, 2719.980,-3.340, 0.902, 0.366, 17.77, 0.00, 14.12, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 217.594, 0.000,0.0,--,--,--, 2.306, 5.000, 5.000, 0.009, 0.02,   2.86, 0.01, 0.04,   4.94, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.03, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00,-0.01, 0.00, 0.00,-0.40, 2719.980,-3.340, 0.902, 0.366, 17.77, 0.00, 14.12, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 217.640, 0.000,0.0,--,--,--, 2.306, 5.000, 5.000, 0.009, 0.02,   5.71, 0.02, 0.04,   5.65, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.04, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00, 0.00, 0.00, 0.00, 0.20, 2719.980,-3.340, 0.793, 0.366, 17.88, 0.00, 14.23, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
0,0, 217.684, 0.000,0.0,--,--,--, 2.306, 5.000, 5.000, 0.008, 0.02,   5.71, 0.01, 0.04,   5.82, -0.99,False,False,False, 0.01,-0.00, 0.27, 0.02,-0.04, 0.00, 0.00, 0.00, 0.00, 1.61, 0.99,-3.00, 0.00,-0.01, 0.00,-0.30, 2719.980,-3.340, 0.793, 0.366, 17.88, 0.00, 14.23, 1.06, 0.00, 1.06, 0.00, 0.00, 0.00,--
