K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Source_One_V5, SAR_Config: A30_L150}, LEG_SETTINGS: {L_eff: 0.161, Gamma_eff: 27, K_Pitch: 20.0, K_Yaw: 20.0}, 

0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000],  0.00,  5.70,  0.00,  2.60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 3053.777, 0.558,-89.9,--,--,--, 0.696, 0.333, 0.255, 3.507, 3.21,  40.54,--, 3.21,  40.54,--,True,--,--, 0.00, 0.00, 0.00, 2.44,-0.26, 2.09,--,--,--,-5.49, 15.95, 3.72, 0.00, 0.39, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714674821.155,--,0,False,False,False,0,0,0,0,    nan,   0.00,   0.00,--, 0.00,-0.00,   0.00,False,False, 0.00, 0.00, 0.00, 0.00,  nan, 0.00,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data


0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000],  0.00,  5.20,  0.00,  2.60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 3239.791, 0.558,-89.9,--,--,--, 0.666, 0.333, 0.252, 3.730, 3.19,  38.79,--, 3.19,  38.79,--,True,--,--, 0.00, 0.00, 0.00, 2.49, 0.00, 2.00,--,--,--,-0.51, 14.15, 0.26, 0.00,-0.08, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714674821.155,--,0,False,False,False,0,0,0,0,    nan,   0.00, 125.12,--, 0.00,-125.12, 636.00,False,True, 0.00, 0.00, 0.00, 2.38,  nan, 0.56,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-2.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data

