K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Source_One_V5, SAR_Config: A30_L150}, LEG_SETTINGS: {L_eff: 0.161, Gamma_eff: 27, K_Pitch: 20.0, K_Yaw: 20.0}, 

0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 135.00,  6.47,  0.00,  0.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 5046.955, 0.677,-24.5,--,--,--, 1.343, 0.450, 0.396,-0.165, 2.99, -40.74,--, 2.99,  94.26,--,True,--,--, 0.00, 0.00, 0.00, 2.27,-0.00,-1.95,--,--,--,-0.45, 14.00, 2.34, 0.00,-1.33, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1715014104.260,--,0,False,False,False,0,0,0,0,    nan,   0.00, 221.09,--, 0.00,-86.09, 357.00,False,True, 0.00, 0.00, 0.00, 0.86,  nan, 2.02,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-2.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data


0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 135.00,  6.47,  0.00,  0.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 5128.395, 0.656,-24.9,--,--,--, 1.075, 0.462, 0.393,-0.129, 2.33, -41.57,--, 2.33,  93.43,--,True,--,--, 0.00, 0.00, 0.00, 1.74, 0.00,-1.54,--,--,--,-1.62, 7.98, 2.75, 0.00,-0.08, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1715014104.260,--,0,False,False,False,0,0,0,0,    nan,   0.00, 170.92,--, 0.00,-35.92, 417.00,False,True, 0.00, 0.00, 0.00, 1.99,  nan, 1.22,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-8.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data

