K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Source_One_V5, SAR_Config: A30_L150}, LEG_SETTINGS: {L_eff: 0.161, Gamma_eff: 27, K_Pitch: 20.0, K_Yaw: 20.0}, 

0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 180.00,  6.12,  0.00,  0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 6547.188, 0.996,-3.2,--,--,--, 0.572, 0.550, 0.395,-3.078, 2.05, -30.54,--, 2.05, 149.46,--,True,--,--, 0.00, 0.00, 0.00, 1.76,-0.07,-1.04,--,--,--, 1.41, 2.37, 0.82, 0.00,-0.01, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1715014104.260,--,0,False,False,False,0,0,0,0,    nan,   0.00, 180.96,--, 0.00,-0.96, 471.00,False,True, 0.00, 0.00, 0.00,-1.75,  nan, 2.67,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00, 4.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data


0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 180.00,  6.62,  0.00,  0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 6637.464, 0.997,-3.0,--,--,--, 0.551, 0.550, 0.389,-3.247, 2.05, -29.23,--, 2.05, 150.77,--,True,--,--, 0.00, 0.00, 0.00, 1.79,-0.02,-1.00,--,--,--, 0.15, 0.31, 2.38, 0.00,-0.10, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1715014104.260,--,0,False,False,False,0,0,0,0,    nan,   0.00, 184.96,--, 0.00,-4.96, 566.00,False,True, 0.00, 0.00, 0.00,-1.80,  nan, 2.71,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00, 5.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data

