K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Impulse_Micro, SAR_Config: A60_L150}, LEG_SETTINGS: {L_eff: 0.147, Gamma_eff: 53, K_Pitch: 0.4, K_Yaw: 0.4}, 

0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 45.00,  5.99,  0.00,  2.50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 181619.901, 0.515,-89.9,--,--,--, 0.915, 0.319, 0.268,-0.306, 2.88,  50.60,--, 2.88,  95.60,--,True,--,--, 0.00, 0.00, 0.00, 1.83,-0.03, 2.22,--,--,--,-1.52, 12.86,-0.65, 0.00, 0.35, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714754952.681,--,0,False,False,False,0,0,0,0,    nan,   0.00,  86.13,--, 0.00,-41.13, 677.00,False,True, 0.00, 0.00, 0.00, 0.62,  nan, 1.10,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-5.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data


0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 45.00,  5.99,  0.00,  2.50,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 181763.291, 0.529,-90.0,--,--,--, 0.907, 0.313, 0.263,-0.327, 2.91,  50.87,--, 2.91,  95.87,--,True,--,--, 0.00, 0.00, 0.00, 1.83, 0.02, 2.25,--,--,--,-0.82, 13.03, 0.23, 0.00, 0.41, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714754952.681,--,0,False,False,False,0,0,0,0,    nan,   0.00, 101.17,--, 0.00,-56.17, 603.00,False,True, 0.00, 0.00, 0.00, 0.30,  nan, 1.43,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-4.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data

