K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Source_One_V5, SAR_Config: A15_L250}, LEG_SETTINGS: {L_eff: 0.264, Gamma_eff: 14, K_Pitch: 20.0, K_Yaw: 20.0}, 

0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 45.00,  6.12,  0.00,  2.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 11274.643, 0.506,-81.2,--,--,--, 0.631, 0.423, 0.246,-0.344, 1.51,  53.30,--, 1.51,  98.30,--,True,--,--, 0.00, 0.00, 0.00, 0.90, 0.17, 1.21,--,--,--, 0.37, 3.80, 3.34, 0.00, 0.34, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714938368.401,--,0,False,False,False,0,0,0,0,    nan,   0.00, 110.97,--, 0.00,-65.97, 440.00,False,True, 0.00, 0.00, 0.00,-0.07,  nan, 0.58,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-8.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data


0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 45.00,  6.12,  0.00,  2.53,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 11465.452, 0.501,-74.5,--,--,--, 0.985, 0.399, 0.292,-0.020, 2.46,  45.48,--, 2.46,  90.48,--,True,--,--, 0.00, 0.00, 0.00, 1.73, 0.07, 1.76,--,--,--,-0.63, 9.22, 1.86, 0.00,-0.06, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714938368.401,--,0,False,False,False,0,0,0,0,    nan,   0.00, 145.69,--, 0.00,-100.69, 564.00,False,True, 0.00, 0.00, 0.00, 0.50,  nan, 0.56,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-7.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data

