K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Source_One_V5, SAR_Config: A30_L150}, LEG_SETTINGS: {L_eff: 0.161, Gamma_eff: 27, K_Pitch: 20.0, K_Yaw: 20.0}, 

0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 45.00,  6.45,  0.00,  2.20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 3387.877, 0.531,-75.2,--,--,--, 0.651, 0.308, 0.232, 3.071, 2.91,   1.50,--, 2.91,  46.50,--,True,--,--, 0.00, 0.00, 0.00, 2.91, 0.03, 0.08,--,--,--,-1.08,-0.92, 3.82, 0.00,-0.46, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714998523.849,--,0,False,False,False,0,0,0,0,    nan,   0.00, 173.56,--, 0.00,-128.56, 536.00,False,True, 0.00, 0.00, 0.00, 2.33,  nan, 1.04,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-5.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data


0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 45.00,  6.45,  0.00,  2.20,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 3532.659, 0.524,-74.7,--,--,--, 0.681, 0.312, 0.238, 2.840, 2.92,   3.40,--, 2.92,  48.40,--,True,--,--, 0.00, 0.00, 0.00, 2.91, 0.05, 0.17,--,--,--,-1.86,-1.36, 4.15, 0.00,-0.70, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714998523.849,--,0,False,False,False,0,0,0,0,    nan,   0.00, 180.52,--, 0.00,-135.52, 401.00,False,True, 0.00, 0.00, 0.00, 1.78,  nan, 0.19,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data

