K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Source_One_V5, SAR_Config: A60_L250}, LEG_SETTINGS: {L_eff: 0.223, Gamma_eff: 52, K_Pitch: 20.0, K_Yaw: 20.0}, 

0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 45.00,  6.32,  0.00,  2.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 9819.165, 0.514,-90.0,--,--,--, 0.559, 0.399, 0.240,-1.130, 1.53,  69.34,--, 1.53, 114.34,--,True,--,--, 0.00, 0.00, 0.00, 0.54,-0.04, 1.44,--,--,--, 3.71, 7.09, 1.66, 0.00,-0.37, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714938368.401,--,0,False,False,False,0,0,0,0,    nan,   0.00,  99.70,--, 0.00,-54.70, 460.00,False,True, 0.00, 0.00, 0.00,-0.44,  nan, 0.83,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-7.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data


0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 45.00,  6.32,  0.00,  2.33,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 9936.522, 0.503,-90.0,--,--,--, 0.513, 0.426, 0.241,-1.565, 1.45,  78.76,--, 1.45, 123.76,--,True,--,--, 0.00, 0.00, 0.00, 0.28, 0.13, 1.42,--,--,--,-0.48,-0.02,-4.60, 0.00, 0.09, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714938368.401,--,0,False,False,False,0,0,0,0,    nan,   0.00,  73.13,--, 0.00,-28.13, 496.00,False,True, 0.00, 0.00, 0.00,-0.60,  nan, 0.40,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data

