K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Source_One_V5, SAR_Config: A30_L150}, LEG_SETTINGS: {L_eff: 0.161, Gamma_eff: 27, K_Pitch: 20.0, K_Yaw: 20.0}, 

0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 90.00,  6.81,  0.00,  1.70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 813.835, 0.515,-40.5,--,--,--, 0.584, 0.433, 0.313, 0.735, 1.42, -17.64,--, 1.42,  72.36,--,True,--,--, 0.00, 0.00, 0.00, 1.35,-0.01,-0.43,--,--,--, 1.45, 5.20, 3.08, 0.00,-0.23, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1715014104.260,--,0,False,False,False,0,0,0,0,    nan,   0.00, 184.40,--, 0.00,-94.40, 560.00,False,True, 0.00, 0.00, 0.00, 2.05,  nan, 1.01,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-2.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data


0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 90.00,  6.81,  0.00,  1.70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 947.677, 0.509,-39.1,--,--,--, 0.586, 0.438, 0.318, 0.726, 1.40, -17.67,--, 1.40,  72.33,--,True,--,--, 0.00, 0.00, 0.00, 1.34,-0.04,-0.43,--,--,--,-0.07, 5.40, 4.76, 0.00, 0.07, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1715014104.260,--,0,False,False,False,0,0,0,0,    nan,   0.00,  90.00,--, 0.00,-0.00,   0.00,False,False, 0.00, 0.00, 0.00, 0.00,  nan, 0.00,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data


0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 90.00,  6.81,  0.00,  1.70,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 947.677, 0.509,-39.1,--,--,--, 0.586, 0.438, 0.318, 0.726, 1.40, -17.67,--, 1.40,  72.33,--,True,--,--, 0.00, 0.00, 0.00, 1.34,-0.04,-0.43,--,--,--,-0.07, 5.40, 4.76, 0.00, 0.07, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1715014104.260,--,0,False,False,False,0,0,0,0,    nan,   0.00, 183.77,--, 0.00,-93.77, 456.00,False,True, 0.00, 0.00, 0.00, 1.94,  nan, 0.77,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-3.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data

