K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Impulse_Micro, SAR_Config: A30_L100}, LEG_SETTINGS: {L_eff: 0.118, Gamma_eff: 30, K_Pitch: 0.4, K_Yaw: 0.4}, 
0,0, 9580.089,-1.000,-72.8,--,--,--, 1.273, 5.000, 5.000, 1.227, 1.49,   1.92, 0.55, 1.57,   1.96,-23.79,False,False,False, 0.18,-0.16, 1.32, 1.49, 0.06, 0.05, 0.00, 0.00, 0.00,-0.65, 23.79,-0.78,-0.04, 0.33, 0.00, 0.60, 485.933,-0.088, 0.839, 0.069, 0.31,-0.10, 1.38, 1.82, 0.00, 0.00, 3.50, 0.00, 0.00,--
0,0, 9580.179, 1.000,-72.5,--,--,--, 1.273, 5.000, 5.000, 1.375, 1.79,   1.73, 1.28, 1.75,   1.71,-24.77,False,False,False, 0.32,-0.16, 1.33, 1.79, 0.07, 0.05, 0.00, 0.00, 0.00,-0.95, 24.77,-0.86, 0.01, 0.44, 0.00, 13.90, 516.514,-0.338, 2.358, 0.054, 0.31,-0.10, 1.38, 1.82, 0.00, 0.00, 3.50, 0.00, 0.00,--
0,0, 9580.241,-1.000,-72.1,--,--,--, 1.272, 5.000, 5.000, 1.541, 2.05,   2.23, 1.18, 1.96,   2.13,-27.04,False,False,False, 0.44,-0.16, 1.33, 2.05, 0.08, 0.08, 0.00, 0.00, 0.00,-0.74, 27.04,-0.99, 0.14, 0.86, 0.00,-1.20, 516.514,-0.338, 2.358, 0.054, 0.73,-0.10, 1.38, 2.16, 0.00, 0.00, 3.18, 0.00, 0.00,--
0,0, 9580.290, 1.000,-71.8,--,--,--, 1.270, 5.000, 5.000, 1.714, 2.31,   2.18, 0.58, 2.18,   2.32,-29.66,False,False,False, 0.58,-0.16, 1.33, 2.31, 0.09, 0.09, 0.00, 0.00, 0.00,-0.56, 29.66,-0.97,-0.04, 0.44, 0.00,-9.60, 471.865, 0.078,-1.264, 0.090, 0.73,-0.10, 1.38, 2.16, 0.00, 0.00, 3.18, 0.00, 0.00,--
0,0, 9580.332, 1.000,-71.5,--,--,--, 1.269, 5.000, 5.000, 1.885, 2.48,   1.69, 0.31, 2.40,   1.99,-30.16,False,False,False, 0.68,-0.16, 1.33, 2.48, 0.09, 0.07, 0.00, 0.00, 0.00,-0.41, 30.16,-0.93, 0.05,-0.17, 0.00,-20.10, 471.865, 0.078,-1.264, 0.090, 0.88,-0.10, 1.38, 2.45, 0.00, 0.00, 2.68, 0.00, 0.00,--
0,0, 9580.390,-1.000,-71.1,--,--,--, 1.269, 5.000, 5.000, 2.045, 2.71,   0.61,-0.10, 2.60,   1.24,-28.84,False,False,False, 0.84,-0.16, 1.33, 2.71, 0.09, 0.03, 0.00, 0.00, 0.00,-0.42, 28.84,-0.93, 0.04,-0.93, 0.00,-9.40, 451.172,-0.108, 0.485, 0.111, 0.88,-0.10, 1.38, 2.45, 0.00, 0.00, 2.68, 0.00, 0.00,--
0,0, 9580.434, 1.000,-70.2,--,--,--, 1.271, 5.000, 5.000, 2.192, 2.86,  -0.10,-0.14, 2.79,   0.25,-26.56,False,False,False, 0.96,-0.16, 1.33, 2.86, 0.10,-0.01, 0.00, 0.00, 0.00,-0.40, 26.56,-1.07, 0.07,-1.32, 0.00,-7.40, 451.172,-0.108, 0.485, 0.111, 1.09,-0.10, 1.38, 2.70, 0.00, 0.00, 2.18, 0.00, 0.00,--
0,0, 9580.478,-1.000,-90.0,--,--,--, 1.275, 0.000,-5.000, 2.318, 2.99,  -0.69,-0.02, 2.96,  -0.57,-23.79,False,False,False, 1.08,-0.16, 1.32, 2.99, 0.10,-0.04, 0.00, 0.00, 0.00,-0.39, 23.79,-1.22, 0.12,-1.52, 0.00,-9.40, 465.545,-0.250, 2.054, 0.135, 1.09,-0.10, 1.38, 2.70, 0.00, 0.00, 2.18, 0.00, 0.00,--
0,0, 9580.535,-1.000,-90.0,--,--,--, 1.281, 0.000,-5.000, 2.418, 3.15,  -0.98, 0.48, 3.10,  -0.99,-18.47,False,False,False, 1.28,-0.16, 1.31, 3.15, 0.09,-0.05, 0.00, 0.00, 0.00,-0.40, 18.47,-1.51, 0.06,-1.83, 0.00,-8.80, 465.545,-0.250, 2.054, 0.135, 1.35,-0.10, 1.38, 2.89, 0.00, 0.00, 1.68, 0.00, 0.00,--
