K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Source_One_V5, SAR_Config: A15_L250}, LEG_SETTINGS: {L_eff: 0.264, Gamma_eff: 14, K_Pitch: 20.0, K_Yaw: 20.0}, 

0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000],  0.00,  5.70,  0.00,  2.58,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 40.487, 0.534,-90.0,--,--,--, 0.442, 0.629, 0.254, 1.730,  nan,    nan,--, 1.04, -23.01,--,True,--,--, 0.00, 0.00, 0.00,  nan,  nan,  nan,--,--,--, 1.12, 1.75,-0.62, 0.00,-0.20, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714573124.687,--,0,False,False,False,0,0,0,0,    nan,   0.00, 140.04,--, 0.00,-140.04, 591.00,False,True, 0.00, 0.00, 0.00, 0.38,  nan,-0.52,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-7.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data

0,0, 52.886,-0.375,0.0,--,--,--, 2.306, 0.000,-5.000, 0.011, 0.03,  -6.84,-0.02, 0.04,  -8.21, -1.02,False,False,False, 0.01,-0.02, 0.27, 0.03,-0.03,-0.00, 0.00, 0.00, 0.00, 1.32, 1.02,-5.70,-0.01,-0.01, 0.00,-0.20, 1070.642,-3.340,-2.895, 0.506, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,--
0,0, 52.936,-0.375,0.0,--,--,--, 2.306, 0.000,-5.000, 0.011, 0.03,  -8.75,-0.03, 0.04,  -9.01, -1.02,False,False,False, 0.01,-0.02, 0.27, 0.03,-0.03,-0.00, 0.00, 0.00, 0.00, 1.32, 1.02,-5.70, 0.00, 0.00, 0.00, 0.30, 1071.050,-3.340,-2.924, 0.513, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,--
0,0, 52.986,-0.375,0.0,--,--,--, 2.306, 0.000,-5.000, 0.011, 0.03,  -9.09,-0.01, 0.04,  -9.88, -1.02,False,False,False, 0.01,-0.02, 0.27, 0.03,-0.03,-0.00, 0.00, 0.00, 0.00, 1.32, 1.02,-5.70,-0.01,-0.01, 0.00,-0.10, 1071.050,-3.340,-2.924, 0.513, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,--
0,0, 53.037,-0.375,0.0,--,--,--, 2.306, 0.000,-5.000, 0.011, 0.03,  -9.09,-0.01, 0.04,  -9.88, -1.02,False,False,False, 0.01,-0.02, 0.27, 0.03,-0.03,-0.00, 0.00, 0.00, 0.00, 1.32, 1.02,-5.70,-0.01,-0.01, 0.00, 0.00, 1071.356,-3.340,-2.896, 0.509, 0.00, 0.00, 0.50, 0.00, 0.00, 0.00, 0.00, 0.00, 0.00,--
