K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Source_One_V5, SAR_Config: A30_L150}, LEG_SETTINGS: {L_eff: 0.161, Gamma_eff: 27, K_Pitch: 20.0, K_Yaw: 20.0}, 

0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 180.00,  5.62,  0.00,  0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 7096.293, 0.998,-5.1,--,--,--, 0.759, 0.497, 0.391,-3.543, 3.09, -29.57,--, 3.09, 150.43,--,True,--,--, 0.00, 0.00, 0.00, 2.69,-0.06,-1.53,--,--,--, 1.51, 7.92, 1.22, 0.00,-1.33, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1715014104.260,--,0,False,False,False,0,0,0,0,    nan,   0.00, 206.22,--, 0.00,-26.22, 977.00,False,True, 0.00, 0.00, 0.00,-2.75,  nan, 1.96,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00, 10.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data


0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000], 180.00,  5.82,  0.00,  0.12,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 7161.649, 0.997,-5.1,--,--,--, 0.765, 0.505, 0.398,-3.637, 3.17, -28.52,--, 3.17, 151.48,--,True,--,--, 0.00, 0.00, 0.00, 2.78,-0.01,-1.51,--,--,--, 1.51, 10.75, 4.28, 0.00,-1.55, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1715014104.260,--,0,False,False,False,0,0,0,0,    nan,   0.00, 207.25,--, 0.00,-27.25, 868.00,False,True, 0.00, 0.00, 0.00,-2.92,  nan, 2.64,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00, 6.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data

