K_ep,K_run,t,Trg_Action,Rot_Action,Mu,Sigma,Policy,D_perp,Tau,Tau_CR,Theta_x,V_BO_Mag,V_BO_Angle,a_BO_Mag,V_BP_Mag,V_BP_Angle,Phi_PB,Trg_Flag,Impact_Flag_Ext,Impact_Flag_OB,r_BO.x,r_BO.y,r_BO.z,V_BO.x,V_BO.y,V_BO.z,a_BO.x,a_BO.y,a_BO.z,Eul_BO.x,Eul_BO.y,Eul_BO.z,W_BO.x,W_BO.y,W_BO.z,AngAcc_BO.y,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: DEEP_RL_ONBOARD, SAR_Type: Source_One_V5, SAR_Config: A60_L250}, LEG_SETTINGS: {L_eff: 0.223, Gamma_eff: 52, K_Pitch: 20.0, K_Yaw: 20.0}, 

0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000],  0.00,  5.60,  0.00,  2.60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 3670.215, 0.502,-89.9,--,--,--, 0.606, 0.425, 0.268, 1.258, 1.62,  61.85,--, 1.62,  61.85,--,True,--,--, 0.00, 0.00, 0.00, 0.76,-0.08, 1.43,--,--,--, 0.17,-3.33, 0.31, 0.00,-0.14, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714658291.087,--,0,False,False,False,0,0,0,0,    nan,   0.00,  59.40,--, 0.00,-59.40, 665.00,False,True, 0.00, 0.00, 0.00, 0.07,  nan, 0.21,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-7.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data


0,0,--,8,--,[0.000 0.000],[0.000 0.000],[0.000 0.000],  0.00,  5.60,  0.00,  2.60,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,--,No_Debug_Data,
0,0, 3670.215, 0.502,-89.9,--,--,--, 0.606, 0.425, 0.268, 1.258, 1.62,  61.85,--, 1.62,  61.85,--,True,--,--, 0.00, 0.00, 0.00, 0.76,-0.08, 1.43,--,--,--, 0.17,-3.33, 0.31, 0.00,-0.14, 0.00,--,--,--,--,--,--,--,--,--,--,--,--,--,--,Trigger Data
0,0,-1714658291.087,--,0,False,False,False,0,0,0,0,    nan,   0.00,  59.40,--, 0.00,-59.40, 665.00,False,True, 0.00, 0.00, 0.00, 0.07,  nan, 0.21,--,--,--, 0.00, 0.00, 0.00, 0.00, 0.00,-7.00,--, 0.00, 0.00, 0.00, 0.00,--,--,--,--,--,--,--,--,--,Impact Data

