gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
554182.,-32.3494377136,554182.,6.9415111542,554182.,1.2256758213
554202.,-10.5910415649,554202.,7.2959971428,554202.,1.8978630304
554222.,11.6101865768,554222.,7.2859168053,554222.,2.4959237576
554242.,33.7654609680,554242.,7.082716465,554242.,3.0462706089
554262.,54.8948326111,554262.,6.8472757339,554262.,3.3538584709
554282.,74.8901519775,554282.,6.0622000694,554282.,4.0899190903
554302.,93.4208908081,554302.,5.4257335663,554302.,3.9834325314
554322.,109.5494842529,554322.,5.173181057,554322.,4.6931376457
554342.,122.7509918213,554342.,4.1684622765,554342.,4.5817718506
554362.,133.1234283447,554362.,3.3781893253,554362.,4.6679916382
554382.,140.3607635498,554382.,2.9652385712,554382.,4.5152177811
554402.,144.4332275391,554402.,2.5242238045,554402.,4.5247030258
554422.,144.9871368408,554422.,2.3867738247,554422.,4.4758558273
554442.,142.2007446289,554442.,1.7410777807,554442.,4.3345823288
554462.,135.4067382812,554462.,1.0854936838,554462.,4.0059723854
554482.,126.1373825073,554482.,0.7199147344,554482.,3.6855583191
554502.,113.4489440918,554502.,-0.1530977339,554502.,3.7066605091
554522.,98.0360336304,554522.,-1.0533579588,554522.,2.9778265953
554542.,80.3623809814,554542.,-1.8746746778,554542.,2.5441474915
554562.,61.3290252686,554562.,-1.8573467731,554562.,2.2873146534
554582.,40.4232406616,554582.,-2.2565121651,554582.,1.8752298355
554602.,18.7758903503,554602.,-2.885789156,554602.,1.6071176529
554622.,-3.0654416084,554622.,-2.5595974922,554622.,0.7964590192
554642.,-25.0999889374,554642.,-2.7658109665,554642.,0.4285462797
554662.,-46.5070610046,554662.,-3.0231094360,554662.,-0.0000584528
554682.,-66.7553100586,554682.,-3.2657034397,554682.,-0.6991745234
554702.,-85.575920105,554702.,-3.7647943497,554702.,-1.1794273853
554722.,-102.2059402466,554722.,-4.4281535149,554722.,-2.0114996433
554742.,-116.7144088745,554742.,-5.2403764725,554742.,-2.6544899940
554762.,-127.8453292847,554762.,-5.6246933937,554762.,-3.1706688404
554782.,-136.4819488525,554782.,-6.4815673828,554782.,-3.5255877972
554802.,-141.5335235596,554802.,-7.1249980927,554802.,-3.8243269920
554822.,-143.6325683594,554822.,-7.0778355598,554822.,-4.1200323105
554842.,-141.8110809326,554842.,-6.9692497253,554842.,-4.3970751762
554862.,-136.7472686768,554862.,-6.7329487801,554862.,-4.3377389908
554882.,-128.3526916504,554882.,-6.6189837456,554882.,-4.6732802391
554902.,-117.1910705566,554902.,-6.3507680893,554902.,-4.5223517418
554922.,-103.0885467529,554922.,-6.0531172752,554922.,-4.1237998009
554942.,-86.3626708984,554942.,-5.6231760979,554942.,-3.5511457920
554962.,-67.8431015015,554962.,-4.8499026299,554962.,-3.4254274368
554982.,-47.8558044434,554982.,-4.7564558983,554982.,-2.5343918800
555002.,-26.5088443756,555002.,-4.2893967628,555002.,-2.0448119640
555022.,-5.0284152031,555022.,-4.0377874374,555022.,-1.2937189341
555042.,16.7013454437,555042.,-3.6104927063,555042.,-0.6568549871
555062.,38.1485404968,555062.,-2.8633718491,555062.,0.1961892843
555082.,58.7098655701,555082.,-2.1246514320,555082.,0.9405016899
555102.,77.923866272,555102.,-1.1217886209,555102.,1.4903687239
555122.,95.1668014526,555122.,-0.4618428051,555122.,2.4056482315
555142.,110.5593872070,555142.,-0.2350703478,555142.,2.8316800594
555162.,122.5432357788,555162.,0.7803182006,555162.,3.3413231373
555182.,132.7200622559,555182.,1.4805977345,555182.,3.8016180992
555202.,138.654296875,555202.,1.9962327480,555202.,4.1093430519
555222.,142.0951690674,555222.,2.6488354206,555222.,4.3464679718
555242.,141.6535491943,555242.,2.7678742409,555242.,4.0894284248
555262.,137.970199585,555262.,2.8944904804,555262.,3.6692485809
555282.,130.8811645508,555282.,3.5333878994,555282.,3.4204003811
555302.,120.8009643555,555302.,3.9790837765,555302.,3.1273736954
555322.,107.9289550781,555322.,4.1083602905,555322.,2.2458946705
555342.,92.3185501099,555342.,4.9717373848,555342.,1.8391580582
555362.,74.9481124878,555362.,5.0421872139,555362.,0.8837605119
555382.,55.3669433594,555382.,5.3866672516,555382.,-0.0484287404
555402.,35.9028396606,555402.,5.9429545403,555402.,-1.0300797224
555422.,14.5956268311,555422.,5.8255300522,555422.,-1.6295586824
555442.,-6.8589172363,555442.,6.3935523033,555442.,-2.2261393070
555462.,-28.5018577576,555462.,6.1931819916,555462.,-2.7607905865
555482.,-49.2382240295,555482.,6.6435241699,555482.,-3.5891675949
555502.,-68.6686782837,555502.,7.0804533958,555502.,-3.9519431591
555522.,-87.0550308228,555522.,7.1331453323,555522.,-4.1793231964
555542.,-103.1937026978,555542.,6.9183416367,555542.,-4.5592317581
555562.,-116.4839401245,555562.,7.4846343994,555562.,-4.7243971825
555582.,-127.3448181152,555582.,6.9195652008,555582.,-4.6402664185
