gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
1072862.,-3.2518129349,1072862.,77.5764160156,1072862.,2.5734674931
1072882.,-4.6715126038,1072882.,49.0463981628,1072882.,2.5015401840
1072902.,-4.2229309082,1072902.,19.3049716949,1072902.,2.1158909798
1072922.,-1.0754400492,1072922.,-11.1719169617,1072922.,1.3068062067
1072942.,3.3870677948,1072942.,-41.8280754089,1072942.,0.1899447888
1072962.,8.6322078705,1072962.,-69.8216857910,1072962.,-1.0060255527
1072982.,12.9804801941,1072982.,-97.2441177368,1072982.,-1.708362937
1073002.,15.2846374512,1073002.,-121.3211288452,1073002.,-2.4377608299
1073022.,14.8217897415,1073022.,-141.4597473145,1073022.,-2.856836319
1073042.,12.3373994827,1073042.,-156.9695129395,1073042.,-2.7699184418
1073062.,8.4069309235,1073062.,-167.5128479004,1073062.,-3.5488705635
1073082.,4.2064204216,1073082.,-173.1912994385,1073082.,-4.4827404022
1073102.,1.2310069799,1073102.,-173.2955169678,1073102.,-5.2830882072
1073122.,0.5471055508,1073122.,-167.4941558838,1073122.,-6.0612354279
1073142.,2.0169031620,1073142.,-156.7410888672,1073142.,-6.6337251663
1073162.,4.5180253983,1073162.,-141.1595306396,1073162.,-6.1982746124
1073182.,7.7318563461,1073182.,-121.5488586426,1073182.,-5.387090683
1073202.,9.5918750763,1073202.,-97.7771530151,1073202.,-4.4900164604
1073222.,9.9515323639,1073222.,-71.1224136353,1073222.,-3.2510347366
1073242.,7.7138309479,1073242.,-42.6052970886,1073242.,-2.0214793682
1073262.,4.5245137215,1073262.,-12.8022079468,1073262.,-1.2991994619
1073282.,0.1652228981,1073282.,18.0392417908,1073282.,-0.3315163255
1073302.,-3.6651415825,1073302.,47.4610748291,1073302.,0.7406872511
1073322.,-5.576543808,1073322.,75.9087524414,1073322.,1.8231102228
1073342.,-5.2818412781,1073342.,101.8511428833,1073342.,3.313295126
1073362.,-3.1377511024,1073362.,124.5653839111,1073362.,4.8137707710
1073382.,0.3735946119,1073382.,143.3305053711,1073382.,5.2570858002
1073402.,3.3156342506,1073402.,158.0583953857,1073402.,6.4974284172
1073422.,5.3968429565,1073422.,167.4220275879,1073422.,6.0568509102
1073442.,4.8236913681,1073442.,172.1263275146,1073442.,4.6938123703
1073462.,2.1766417027,1073462.,170.7912902832,1073462.,4.7477073669
1073482.,-1.8429331779,1073482.,164.4273223877,1073482.,3.2278871536
1073502.,-6.2695698738,1073502.,152.9660644531,1073502.,2.3667809963
1073522.,-10.1540079117,1073522.,136.3737640381,1073522.,2.5160000324
1073542.,-12.3339195251,1073542.,115.510925293,1073542.,1.5157368183
1073562.,-12.5894937515,1073562.,91.965423584,1073562.,0.575342536
1073582.,-10.5123300552,1073582.,64.7115859985,1073582.,0.1829490066
1073602.,-7.6837053299,1073602.,36.096736908,1073602.,-1.2621539831
1073622.,-4.6020097733,1073622.,6.0580940247,1073622.,-2.4777879715
1073642.,-2.6530036926,1073642.,-23.7789382935,1073642.,-3.4985122681
1073662.,-2.0722053051,1073662.,-52.9357833862,1073662.,-4.0396347046
1073682.,-3.6703028679,1073682.,-80.9881439209,1073682.,-4.3577480316
1073702.,-6.4623613358,1073702.,-105.7061386108,1073702.,-4.5383367538
1073722.,-8.7722845078,1073722.,-127.9330749512,1073722.,-4.93080616
1073742.,-10.3549299240,1073742.,-144.9365234375,1073742.,-5.2530875206
1073762.,-10.0814304352,1073762.,-158.8683776855,1073762.,-5.676211834
1073782.,-8.0982780457,1073782.,-167.4227905273,1073782.,-6.3357834816
1073802.,-3.9212756157,1073802.,-170.8414611816,1073802.,-6.1543436050
1073822.,0.5494357944,1073822.,-168.3706970215,1073822.,-6.4909210205
1073842.,4.8723664284,1073842.,-161.60887146,1073842.,-5.2152404785
1073862.,7.5697627068,1073862.,-149.1035461426,1073862.,-4.7700037956
1073882.,7.8703947067,1073882.,-131.9923858643,1073882.,-4.1193084717
1073902.,6.4623332024,1073902.,-110.9206924438,1073902.,-3.1549031734
1073922.,3.4674651623,1073922.,-86.4268646240,1073922.,-2.2489197254
1073942.,0.4314526618,1073942.,-59.3067131042,1073942.,-3.2909440994
1073962.,-2.1001565456,1073962.,-30.2362785339,1073962.,-1.7454178333
1073982.,-2.918358326,1073982.,-1.0414259434,1073982.,-1.4179952145
1074002.,-1.5735692978,1074002.,28.7251281738,1074002.,-0.5763599277
