gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
1882713.,-0.9599956870,1882713.,3.1798713207,1882713.,-79.5282440186
1882733.,-0.89339149,1882733.,4.1055154800,1882733.,-91.2235336304
1882753.,-0.6633511186,1882753.,4.6382966042,1882753.,-99.7349243164
1882773.,-0.5779602528,1882773.,4.9241876602,1882773.,-107.0232009888
1882793.,-0.3638904691,1882793.,5.0969200134,1882793.,-111.4791488647
1882813.,-0.9363883734,1882813.,5.1200556755,1882813.,-113.0314941406
1882833.,-0.9607895613,1882833.,4.7426233292,1882833.,-112.0490722656
1882853.,-1.3410911560,1882853.,4.6314077377,1882853.,-108.0774612427
1882873.,-1.501054287,1882873.,3.7693722248,1882873.,-101.4987411499
1882893.,-2.0916492939,1882893.,2.9594736099,1882893.,-92.4504470825
1882913.,-2.5533521175,1882913.,2.7036747932,1882913.,-81.2711868286
1882933.,-2.0608341694,1882933.,1.7176049948,1882933.,-68.2325668335
1882953.,-2.6446509361,1882953.,1.5036133528,1882953.,-53.4071846008
1882973.,-2.0129823685,1882973.,0.3618758619,1882973.,-37.6071395874
1882993.,-1.9381861687,1882993.,0.3399915993,1882993.,-20.5918483734
1883013.,-0.9217569232,1883013.,-0.2655175924,1883013.,-3.4258720875
1883033.,-0.3083285689,1883033.,-0.3780623078,1883033.,14.1872320175
1883053.,0.7771046162,1883053.,-0.5476475954,1883053.,31.0712223053
1883073.,2.3280112743,1883073.,-0.1521773338,1883073.,47.3621749878
1883093.,3.3124256134,1883093.,0.4761743248,1883093.,62.7682228088
1883113.,4.8934488297,1883113.,0.9746818542,1883113.,76.2651596069
1883133.,6.1802458763,1883133.,1.504144907,1883133.,88.4923858643
1883153.,7.306678772,1883153.,1.7016112804,1883153.,98.2630157471
1883173.,7.7935266495,1883173.,2.6187646389,1883173.,105.4904022217
1883193.,8.3175716400,1883193.,2.6410109997,1883193.,109.7945785522
1883213.,8.2898311615,1883213.,3.1786801815,1883213.,111.8959732056
1883233.,8.1228103638,1883233.,2.850581646,1883233.,111.2197647095
1883253.,7.2995209694,1883253.,2.6002373695,1883253.,107.7254104614
1883273.,6.3647756577,1883273.,2.3974852562,1883273.,101.8046569824
1883293.,4.8981075287,1883293.,1.6155185699,1883293.,93.2999801636
1883313.,3.3468489647,1883313.,1.0303279161,1883313.,82.3413772583
1883333.,1.6000000238,1883333.,-0.2282466739,1883333.,69.6936645508
1883353.,0.1080064476,1883353.,-1.3369972706,1883353.,55.3271827698
1883373.,-1.7799921036,1883373.,-2.5810313225,1883373.,39.676361084
1883393.,-3.1985387802,1883393.,-3.5236079693,1883393.,23.0778598785
1883413.,-4.8160820007,1883413.,-4.6840844154,1883413.,5.6555399895
1883433.,-6.1185150146,1883433.,-4.9281735420,1883433.,-11.6527051926
1883453.,-6.8458819389,1883453.,-5.4151525497,1883453.,-28.3742218018
1883473.,-7.5659584999,1883473.,-5.1933884621,1883473.,-44.8759918213
1883493.,-7.9890203476,1883493.,-4.7435832024,1883493.,-60.2096443176
1883513.,-7.85983181,1883513.,-4.0539546013,1883513.,-73.8281402588
1883533.,-7.9716005325,1883533.,-3.074103117,1883533.,-85.6854858398
1883553.,-7.5314040184,1883553.,-2.1996889114,1883553.,-95.9120941162
