k_ep,k_run,t,Policy_Trg_Action,Policy_Flip_Action,mu,sigma,policy,x,y,z,vx,vy,vz,D_perp,Tau,Tau_est,Theta_x,Theta_x_est,Theta_y,Theta_y_est,flip_flag,impact_flag,eul_x,eul_y,eul_z,wx,wy,wz,qx,qy,qz,qw,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
## DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: PARAM_OPTIM, SAR_Type: Source_One_V5, SAR_Config: Base_Model}, PLANE_SETTINGS: {Plane_Config: Checkerboard_L02}, 
0,0,1015.781,0.000,0.000,--,--,--, 0.056, 1.805,-0.026, 0.021, 0.952,-0.012, 2.025, 0.000, 0.000, 0.010, 0.000, 0.468,0.000,False,False,-0.159,-0.000,-0.159, 0.010,-0.010, 0.004,-0.001, 0.000,-0.001, 1.000, 6.322, 0.644,-0.004, 0.006, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1015.877,0.000,0.000,--,--,--, 0.058, 1.902,-0.027, 0.022, 0.979,-0.013, 2.027, 0.000, 0.000, 0.011, 0.000, 0.481,0.000,False,False,-0.000,-0.000, 0.000,-0.010,-0.010,-0.003,-0.000,-0.000,-0.000, 1.000, 6.328, 0.699, 0.014, 0.002, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1015.973,0.000,0.000,--,--,--, 0.060, 2.001,-0.028, 0.025, 1.003,-0.021, 2.029, 0.000, 0.000, 0.011, 0.000, 0.496,0.000,False,False,-0.159,-0.000,-0.159,-0.060,-0.080, 0.003,-0.001, 0.000,-0.001, 1.000, 6.328, 0.699, 0.014, 0.002, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1016.081,0.000,0.000,--,--,--, 0.063, 2.102,-0.030, 0.025, 1.022,-0.018, 2.030, 0.000, 0.000, 0.012, 0.000, 0.502,0.000,False,False,-0.159,-0.000,-0.000,-0.010, 0.020,-0.005,-0.001, 0.000,-0.000, 1.000, 6.328, 0.699, 0.014, 0.002, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1016.177,0.000,0.000,--,--,--, 0.065, 2.206,-0.031, 0.021, 1.051,-0.014, 2.031, 0.000, 0.000, 0.010, 0.000, 0.516,0.000,False,False,-0.159, 0.159,-0.000,-0.010, 0.010,-0.007,-0.001, 0.001,-0.000, 1.000, 6.333, 0.824,-0.022, 0.000, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1016.261,0.000,0.000,--,--,--, 0.067, 2.292,-0.033, 0.025, 1.072,-0.016, 2.033, 0.000, 0.000, 0.012, 0.000, 0.531,0.000,False,False,-0.159,-0.000,-0.000, 0.040,-0.050,-0.003,-0.001, 0.000,-0.000, 1.000, 6.333, 0.824,-0.022, 0.000, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1016.381,0.000,0.000,--,--,--, 0.070, 2.423,-0.035, 0.024, 1.103,-0.015, 2.034, 0.000, 0.000, 0.011, 0.000, 0.539,0.000,False,False,-0.159,-0.000,-0.000,-0.010, 0.000,-0.001,-0.001, 0.000,-0.000, 1.000, 6.338, 0.915,-0.083, 0.002, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1016.477,0.000,0.000,--,--,--, 0.073, 2.534,-0.036, 0.026, 1.127,-0.017, 2.036, 0.000, 0.000, 0.013, 0.000, 0.552,0.000,False,False,-0.000,-0.000,-0.159,-0.020, 0.010,-0.002,-0.000, 0.000,-0.001, 1.000, 6.340, 0.882,-0.010,-0.003, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1016.561,0.000,0.000,--,--,--, 0.075, 2.625,-0.038, 0.027, 1.144,-0.017, 2.038, 0.000, 0.000, 0.013, 0.000, 0.564,0.000,False,False,-0.158, 0.158,-0.159, 0.000,-0.020,-0.004,-0.001, 0.001,-0.001, 1.000, 6.340, 0.882,-0.010,-0.003, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
