gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
108688.,38.041015625,108688.,-2.8740544319,108688.,-3.2238354683
108708.,34.9427337646,108708.,-2.7206208706,108708.,-2.7291319370
108728.,31.6491756439,108728.,-2.4603791237,108728.,-2.5099334717
108748.,27.7085781097,108748.,-2.5652010441,108748.,-2.1732842922
108768.,23.6072750092,108768.,-2.4696073532,108768.,-1.7957348824
108788.,19.0128326416,108788.,-2.4758455753,108788.,-1.1754304171
108808.,13.9959259033,108808.,-1.8972784281,108808.,-0.9928184152
108828.,9.0962600708,108828.,-1.5706113577,108828.,-0.3632280231
108848.,4.1809530258,108848.,-1.5883858204,108848.,0.2930303514
108868.,-1.1435884237,108868.,-1.5327574015,108868.,0.5360921621
108888.,-6.3088407516,108888.,-1.3441874981,108888.,0.9840193987
108908.,-11.4807405472,108908.,-1.1732045412,108908.,1.4961272478
108928.,-16.2127857208,108928.,-1.1354060173,108928.,1.95049119
108948.,-20.8881225586,108948.,-0.9201556444,108948.,2.3617832661
108968.,-25.0788173676,108968.,-0.8434906006,108968.,2.7691247463
108988.,-29.0427131653,108988.,-0.8598814607,108988.,3.1002829075
109008.,-32.7853927612,109008.,-0.6794723868,109008.,3.073507309
109028.,-35.8268928528,109028.,-0.6514627934,109028.,3.5560572147
109048.,-38.4819107056,109048.,-0.4689978063,109048.,3.6297895908
109068.,-40.5955390930,109068.,-0.1045397371,109068.,4.0451292992
109088.,-41.9043197632,109088.,-0.1185078621,109088.,4.0090098381
109108.,-42.8906326294,109108.,-0.0834252685,109108.,4.2846407890
109128.,-43.1057319641,109128.,0.5369027257,109128.,4.2710971832
109148.,-42.9445991516,109148.,0.6594355106,109148.,4.1039972305
109168.,-41.9112014771,109168.,1.0972188711,109168.,4.2750868797
109188.,-40.6617889404,109188.,1.4019709826,109188.,4.0178875923
109208.,-38.4833297729,109208.,1.6018964052,109208.,4.0685443878
109228.,-36.0687866211,109228.,1.8461666107,109228.,3.4974637032
109248.,-32.8352546692,109248.,1.7553904057,109248.,3.3873062134
109268.,-29.1726646423,109268.,2.1801257133,109268.,3.0463199615
109288.,-25.5843162537,109288.,1.761005044,109288.,2.7571945190
109308.,-21.4336853027,109308.,2.3196704388,109308.,2.7240536213
109328.,-16.7942161560,109328.,2.3178069592,109328.,2.2192528248
109348.,-12.1291952133,109348.,2.3102173805,109348.,1.8336881399
109368.,-7.1128015518,109368.,2.3952913284,109368.,1.5856312513
109388.,-1.7839592695,109388.,2.4147968292,109388.,0.890378058
109408.,3.174967289,109408.,2.3921442032,109408.,0.4687992334
109428.,8.1346197128,109428.,2.4772582054,109428.,-0.0646229014
109448.,13.3580684662,109448.,2.4299952984,109448.,-0.8914354444
109468.,17.8573417664,109468.,2.386143446,109468.,-0.9761030078
109488.,22.4150924683,109488.,2.8213505745,109488.,-1.3363522291
109508.,26.6901130676,109508.,2.7118148804,109508.,-1.9013831615
109528.,30.3963260651,109528.,2.5128078461,109528.,-2.4511868954
109548.,33.5606422424,109548.,2.4568359852,109548.,-2.6620433331
109568.,36.8032302856,109568.,2.2329192162,109568.,-2.7397534847
109588.,39.0067024231,109588.,1.702362299,109588.,-2.9158725739
109608.,41.3373603821,109608.,1.794487834,109608.,-3.4167640209
109628.,42.3205223083,109628.,1.8246951103,109628.,-3.7306153774
109648.,43.2354164124,109648.,1.0645353794,109648.,-3.4713199139
109668.,43.3620185852,109668.,0.8768796921,109668.,-3.5255174637
109688.,43.0887641907,109688.,0.2492988408,109688.,-3.7882068157
109708.,41.9112472534,109708.,0.1956990510,109708.,-3.4468271732
109728.,40.4166374207,109728.,-0.3358429968,109728.,-3.2566723824
