gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
436909.,-1.5391776562,436909.,-32.3763008118,436909.,-1.7436476946
436929.,-1.7287529707,436929.,-30.2133941650,436929.,-1.5035785437
436949.,-1.8761950731,436949.,-28.0476341248,436949.,-1.3613618612
436969.,-2.1520698071,436969.,-25.1191596985,436969.,-1.4509181976
436989.,-1.7340744734,436989.,-22.3510246277,436989.,-1.1061962843
437009.,-1.6216791868,437009.,-18.9406204224,437009.,-1.0668395758
437029.,-1.3229446411,437029.,-15.7387847900,437029.,-0.5755197406
437049.,-1.1590737104,437049.,-12.0471143723,437049.,-0.3863052726
437069.,-0.797390759,437069.,-8.3392944336,437069.,-0.0396062359
437089.,-0.4551232457,437089.,-4.1303162575,437089.,-0.0165200476
437109.,0.0650009438,437109.,-0.3612472415,437109.,0.0891931355
437129.,0.1177677065,437129.,3.6260204315,437129.,0.3202464283
437149.,0.646930933,437149.,7.490916729,437149.,0.6397432089
437169.,0.6283034682,437169.,11.0801401138,437169.,1.1601353884
437189.,0.8501650095,437189.,14.7746896744,437189.,1.538253665
437209.,0.6791692972,437209.,18.1731185913,437209.,1.5560241938
437229.,0.9010140896,437229.,21.4930515289,437229.,1.6927638054
437249.,0.8886110187,437249.,24.6386814117,437249.,1.7529230118
437269.,0.7692047358,437269.,27.5452270508,437269.,1.9237561226
437289.,0.6867368221,437289.,29.6857128143,437289.,2.0494611263
437309.,0.9260917902,437309.,31.5862770081,437309.,2.6293027401
437329.,0.9003173709,437329.,33.3037796021,437329.,2.3640449047
437349.,1.0737425089,437349.,34.7703208923,437349.,2.5503077507
437369.,1.1703689098,437369.,36.0116386414,437369.,2.9209053516
437389.,1.4238938093,437389.,36.2845344543,437389.,2.7504317760
437409.,1.7276117802,437409.,36.0386695862,437409.,2.9208450317
437429.,1.7489143610,437429.,36.0340957642,437429.,2.6471073627
437449.,2.2192149162,437449.,35.2618331909,437449.,2.3168556690
437469.,2.1845991611,437469.,33.9497528076,437469.,2.5938861370
437489.,2.3919301033,437489.,32.6173934937,437489.,2.1863617897
437509.,2.4286117554,437509.,30.8019485474,437509.,2.2660405636
437529.,2.4361150265,437529.,28.4941864014,437529.,2.4983391762
437549.,2.5294127464,437549.,25.7545356750,437549.,1.8803359270
437569.,2.4035747051,437569.,22.9577522278,437569.,1.7235250473
437589.,2.0772132874,437589.,19.5266284943,437589.,1.5496966839
437609.,1.7671461105,437609.,16.4374065399,437609.,1.3834247589
437629.,1.5931822062,437629.,12.9730358124,437629.,1.1189302206
437649.,1.1734077930,437649.,9.1882667542,437649.,1.0515528917
437669.,1.067517519,437669.,5.3639049530,437669.,0.8108915687
437689.,0.8764549494,437689.,1.7377135754,437689.,0.5919249654
437709.,1.2681305408,437709.,-2.3023285866,437709.,0.0590532795
437729.,1.0795571804,437729.,-6.0824499130,437729.,-0.1765865088
437749.,1.0309120417,437749.,-9.8524713516,437749.,-0.4475046396
437769.,0.9015663862,437769.,-13.4980449677,437769.,-0.8180301785
437789.,1.0766966343,437789.,-17.0428180695,437789.,-1.1487935781
437809.,1.0509412289,437809.,-20.3645820618,437809.,-1.0719387531
437829.,1.0763994455,437829.,-23.4374809265,437829.,-1.2207852602
437849.,0.8606470227,437849.,-26.1333217621,437849.,-1.5538247824
437869.,0.7307469249,437869.,-28.5923309326,437869.,-1.8404998779
437889.,0.5746711493,437889.,-30.7391910553,437889.,-1.776059866
437909.,0.2951648533,437909.,-32.404586792,437909.,-1.9496344328
437929.,-0.0844876394,437929.,-33.8953514099,437929.,-1.9340518713
437949.,-0.4629170299,437949.,-35.1703414917,437949.,-1.9047547579
437969.,-0.8471431732,437969.,-35.3908538818,437969.,-2.1414942741
437989.,-1.3059891462,437989.,-35.9382858276,437989.,-2.0365762711
438009.,-1.5495227575,438009.,-35.5916328430,438009.,-1.9423213005
438029.,-1.4902354479,438029.,-35.3002014160,438029.,-1.7727087736
438049.,-1.9208940268,438049.,-33.8986701965,438049.,-1.8497765064
438069.,-2.0026781559,438069.,-32.7554931641,438069.,-1.8119933605
438089.,-1.7247121334,438089.,-31.0092048645,438089.,-1.7726905346
438109.,-1.7661314011,438109.,-28.8964939117,438109.,-1.5337684155
438129.,-1.6390839815,438129.,-26.1970710754,438129.,-1.319568038
438149.,-1.5421971083,438149.,-23.6341609955,438149.,-1.1996473074
438169.,-1.3509815931,438169.,-20.6101284027,438169.,-0.9022681117
438189.,-1.1223517656,438189.,-17.3593463898,438189.,-0.5898010135
438209.,-0.8180726767,438209.,-13.7025384903,438209.,-0.3485879302
438229.,-0.960071981,438229.,-9.9595012665,438229.,-0.2871148288
438249.,-0.5773786902,438249.,-6.5175008774,438249.,-0.0123314541
438269.,-0.8180856705,438269.,-2.9771692753,438269.,0.3473179042
438289.,-0.7968129516,438289.,1.0026984215,438289.,0.6531668901
438309.,-0.9966161847,438309.,4.763437748,438309.,0.7213301659
438329.,-0.8965666890,438329.,8.5585794449,438329.,0.8689595461
