gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
459256.,2.687664032,459256.,-0.2955729663,459256.,40.3592262268
459276.,2.5060753822,459276.,-0.077007629,459276.,38.6320152283
459296.,2.4462256432,459296.,-0.0048837387,459296.,36.5010719299
459316.,2.1785273552,459316.,-0.1838698089,459316.,34.2316780090
459336.,2.0884599686,459336.,-0.1825869232,459336.,31.1986827850
459356.,1.6626311541,459356.,-0.2182240188,459356.,28.0883026123
459376.,1.4319839478,459376.,-0.098570399,459376.,24.5987052917
459396.,1.2181581259,459396.,-0.0278096069,459396.,21.0689105988
459416.,1.0846159458,459416.,0.3022885025,459416.,17.0168361664
459436.,0.9194626212,459436.,0.3300455213,459436.,13.4292545319
459456.,0.5014384985,459456.,0.044177901,459456.,9.4579486847
459476.,0.3167953789,459476.,0.1386444122,459476.,5.2906651497
459496.,-0.092123054,459496.,0.3824279606,459496.,1.1917347908
459516.,-0.2021564543,459516.,0.3391622901,459516.,-2.7967345715
459536.,-0.5493507385,459536.,0.1108497307,459536.,-6.9169163704
459556.,-0.6628608108,459556.,0.1347363144,459556.,-10.8104114532
459576.,-0.7710357308,459576.,0.2539653480,459576.,-14.7231454849
459596.,-1.0323573351,459596.,-0.0734426752,459596.,-18.4332695007
459616.,-1.2319153547,459616.,-0.3099386096,459616.,-22.0429077148
459636.,-1.5482450724,459636.,-0.0515133925,459636.,-25.3862762451
459656.,-1.5184932947,459656.,-0.0965026915,459656.,-28.1857204437
459676.,-1.7067644596,459676.,-0.2315959632,459676.,-30.6814231873
459696.,-1.7528557777,459696.,-0.1234117523,459696.,-33.2583541870
459716.,-1.8246587515,459716.,-0.7087053061,459716.,-35.3919563293
459736.,-1.7365509272,459736.,-0.5016129017,459736.,-37.3873062134
459756.,-1.7618842125,459756.,-0.340364486,459756.,-38.7409744263
459776.,-1.9043388367,459776.,-1.0539338589,459776.,-39.6174697876
459796.,-1.8791189194,459796.,-0.8513059616,459796.,-40.2955055237
459816.,-2.0024054050,459816.,-0.7417176962,459816.,-40.3930282593
459836.,-1.5545711517,459836.,-1.0146325827,459836.,-40.4328842163
459856.,-1.7507724762,459856.,-0.9271309972,459856.,-39.7319488525
459876.,-1.4457360506,459876.,-1.1435393095,459876.,-38.6992340088
459896.,-1.3938264847,459896.,-1.1505327225,459896.,-37.2003517151
459916.,-1.2737312317,459916.,-1.0779964924,459916.,-36.0207710266
459936.,-1.0489851236,459936.,-1.1345883608,459936.,-33.4925308228
459956.,-1.0453577042,459956.,-0.9843531251,459956.,-31.5721282959
459976.,-0.8169630766,459976.,-0.8575959206,459976.,-28.7087593079
459996.,-0.5487053394,459996.,-0.9069355130,459996.,-25.6346950531
460016.,-0.7376587987,460016.,-0.7149417996,460016.,-22.5869102478
460036.,-0.4580157697,460036.,-0.6001890898,460036.,-18.8649578094
460056.,-0.2518070042,460056.,-0.6110715866,460056.,-15.2037639618
460076.,-0.1402401924,460076.,-0.4395352602,460076.,-11.4493551254
460096.,-0.0496819206,460096.,-0.3446250856,460096.,-7.409406662
460116.,0.2523856461,460116.,-0.6056085825,460116.,-3.4782762527
460136.,0.4899650514,460136.,-0.3126430511,460136.,0.5427994132
460156.,0.6839445233,460156.,-0.1799760312,460156.,4.4344735146
460176.,0.8903107643,460176.,-0.3053090572,460176.,8.591960907
460196.,1.0556931496,460196.,-0.2133915722,460196.,12.5398683548
460216.,1.4130376577,460216.,-0.2524710596,460216.,16.1028137207
460236.,1.4361108541,460236.,-0.5881564617,460236.,20.0242309570
460256.,1.7034820318,460256.,-0.2312338799,460256.,23.2963008881
460276.,1.8238431215,460276.,-0.1990695596,460276.,26.8673667908
460296.,2.3640460968,460296.,-0.4926761985,460296.,30.1123390198
460316.,2.4994032383,460316.,-0.8155289888,460316.,33.0466194153
460336.,2.8029046059,460336.,-0.6429660916,460336.,35.5304641724
460356.,3.0818881989,460356.,-0.8236289620,460356.,37.7905883789
460376.,2.9707813263,460376.,-1.0902612209,460376.,39.8173408508
460396.,3.0134747028,460396.,-1.3881531954,460396.,41.2802124023
460416.,3.0882329941,460416.,-1.1506977081,460416.,42.4940338135
460436.,3.4880518913,460436.,-1.208424449,460436.,43.2237205505
460456.,3.6717000008,460456.,-1.1467590332,460456.,43.5522346497
460476.,3.6571016312,460476.,-1.3793069124,460476.,43.7029609680
460496.,3.5070393085,460496.,-1.3418782949,460496.,42.9344406128
460516.,3.4415774345,460516.,-1.3708386421,460516.,42.6491966248
460536.,3.3568966389,460536.,-1.2162411213,460536.,41.6341781616
460556.,3.5345516205,460556.,-1.0495878458,460556.,39.8781700134
460576.,3.1466579437,460576.,-0.9607273340,460576.,38.0894813538
460596.,2.8633537292,460596.,-1.0663642883,460596.,35.8272285461
460616.,2.6502768993,460616.,-1.0437172651,460616.,33.4255981445
460636.,2.7160921097,460636.,-0.8981708884,460636.,30.5892543793
460656.,2.1838121414,460656.,-0.2553411424,460656.,27.7665328979
460676.,1.8013199568,460676.,-0.2622543275,460676.,24.5422725677
460696.,1.5911911726,460696.,-0.0461474024,460696.,20.7862129211
460716.,1.1352021694,460716.,-0.0285007227,460716.,17.1834259033
460736.,0.7935801744,460736.,-0.1088575125,460736.,13.4052715302
460756.,0.4964843094,460756.,0.4044440091,460756.,9.3648691177
460776.,0.0263196062,460776.,0.6491900682,460776.,5.4294695854
460796.,-0.4299161732,460796.,0.5884598494,460796.,1.3593888283
460816.,-0.6033013463,460816.,0.666800499,460816.,-2.5369389057
460836.,-0.8618701696,460836.,0.8583629727,460836.,-6.5157837868
460856.,-1.1583065987,460856.,0.8804639578,460856.,-10.3169746399
460876.,-1.8211388588,460876.,1.0744650364,460876.,-14.3834514618
460896.,-1.70317626,460896.,0.8980492353,460896.,-18.0195732117
460916.,-2.1199150085,460916.,1.0399705172,460916.,-21.3923606873
460936.,-2.1330549717,460936.,0.9090844393,460936.,-24.6063270569
460956.,-2.4065368176,460956.,0.9580327868,460956.,-27.6208896637
460976.,-2.5764293671,460976.,1.0677779913,460976.,-30.4906959534
460996.,-2.5859687328,460996.,1.0131310225,460996.,-32.8670272827
461016.,-2.7932476997,461016.,0.9608579278,461016.,-34.7266654968
461036.,-2.3964850903,461036.,0.8939492702,461036.,-36.7846298218
461056.,-2.666233778,461056.,0.4827096462,461056.,-38.0602912903
461076.,-2.4456732273,461076.,0.6950399876,461076.,-38.7363471985
461096.,-2.6188342571,461096.,0.3215985000,461096.,-39.4173812866
461116.,-2.4508471489,461116.,0.2243216783,461116.,-39.6082801819
461136.,-2.3437812328,461136.,0.1156148911,461136.,-39.6583213806
461156.,-2.4633965492,461156.,-0.1181615815,461156.,-39.2110328674
461176.,-2.0022399426,461176.,-0.3618353605,461176.,-38.4172325134
461196.,-2.0766189098,461196.,-0.3670888245,461196.,-36.6805191040
461216.,-1.685885191,461216.,-0.4501402080,461216.,-35.2582855225
461236.,-1.6691895723,461236.,-0.2557383776,461236.,-33.1686973572
461256.,-1.5016314983,461256.,-0.6804003716,461256.,-30.9229869843
461276.,-1.2945696115,461276.,-0.5180407166,461276.,-28.1686306
461296.,-0.9748596549,461296.,-0.5345203280,461296.,-25.3627052307
461316.,-0.706407547,461316.,-0.5199224949,461316.,-21.9617023468
461336.,-0.4602383971,461336.,-0.5350724459,461336.,-18.7250270844
461356.,-0.3195509017,461356.,-0.5855692029,461356.,-15.4162254333
461376.,-0.2138726413,461376.,-0.3674636483,461376.,-11.5174264908
461396.,-0.0873339772,461396.,-0.63998276,461396.,-7.6121821404
461416.,0.413099438,461416.,-0.4358617067,461416.,-4.1084818840
461436.,0.5226060748,461436.,-0.5702594519,461436.,0.3384144902
461456.,0.8938412070,461456.,-0.5956299901,461456.,4.471903801
461476.,0.8600104451,461476.,-0.7207040191,461476.,8.2781534195
461496.,1.397572279,461496.,-0.4133333862,461496.,12.0978908539
461516.,1.4932734966,461516.,-0.8374756575,461516.,15.9656524658
461536.,1.6042668819,461536.,-0.5554323792,461536.,19.8611888885
461556.,2.0934865475,461556.,-0.3708086908,461556.,23.3785457611
461576.,2.0517938137,461576.,-0.5761590600,461576.,26.6650047302
461596.,2.5625154972,461596.,-0.5122767687,461596.,29.6910572052
461616.,2.8283963203,461616.,-0.7913372517,461616.,32.3236656189
461636.,2.7582483292,461636.,-0.6356457472,461636.,34.8923416138
461656.,2.8965358734,461656.,-1.0446844101,461656.,37.6636314392
461676.,3.3316273689,461676.,-1.0551704168,461676.,39.1597175598
461696.,3.2612230778,461696.,-1.1193040609,461696.,40.8814430237
461716.,3.4774487019,461716.,-1.0754812956,461716.,41.9684562683
