gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
619075.,-0.3196136951,619075.,-1.2709523439,619075.,0.2129946649
619095.,-3.5794308186,619095.,-1.6434426308,619095.,0.1804626137
619115.,-6.5497522354,619115.,-1.5099325180,619115.,0.1340540498
619135.,-9.5642108917,619135.,-0.9318886399,619135.,0.4032323062
619155.,-12.6303873062,619155.,-0.7981219888,619155.,0.3909802437
619175.,-15.6259870529,619175.,-0.2420972586,619175.,0.2153481245
619195.,-18.5593032837,619195.,-0.3302677274,619195.,0.4737035036
619215.,-21.4761981964,619215.,-0.4147105515,619215.,0.369638294
619235.,-24.1408214569,619235.,-0.1076299250,619235.,0.4942809939
619255.,-26.4966907501,619255.,-0.7584865093,619255.,6.4409737587
619275.,-28.6763572693,619275.,-0.5669095516,619275.,-0.9409808517
619295.,-30.7631282806,619295.,-0.0560796186,619295.,-4.5636248589
619315.,-32.8168792725,619315.,1.2080016136,619315.,3.2651851177
619335.,-34.2873039246,619335.,-0.4162574708,619335.,5.6535782814
619355.,-35.8833045959,619355.,-0.0969098881,619355.,-5.2848381996
619375.,-37.1387443542,619375.,-2.1932468414,619375.,0.1148262396
619395.,-37.6451225281,619395.,-0.7255851030,619395.,6.6660089493
619415.,-39.1208953857,619415.,-0.8151057363,619415.,-3.5488123894
619435.,-39.7907447815,619435.,-0.7728999853,619435.,-5.9231271744
619455.,-39.8913993835,619455.,-1.2892030478,619455.,6.315325737
619475.,-39.9526176453,619475.,-1.3353210688,619475.,2.2717232704
619495.,-39.8146972656,619495.,-1.1082993746,619495.,-5.8124146461
619515.,-39.2926902771,619515.,-1.1444559097,619515.,2.6789724827
619535.,-38.5067062378,619535.,-1.4010691643,619535.,5.2912559509
619555.,-37.2481460571,619555.,-1.1619251966,619555.,-4.3625221252
619575.,-35.8488540649,619575.,-0.8217742443,619575.,-0.5875241160
619595.,-34.3257675171,619595.,-0.2787602544,619595.,6.140935421
619615.,-32.5781898499,619615.,-0.0482025817,619615.,-1.7238246202
619635.,-30.7770366669,619635.,-0.0435552225,619635.,-2.8993289471
619655.,-28.7530498505,619655.,0.3292222619,619655.,5.2457633018
619675.,-26.889377594,619675.,0.7075446248,619675.,1.1968158484
619695.,-23.9275341034,619695.,0.9002370238,619695.,-4.0240154266
619715.,-21.3135414124,619715.,0.9282796979,619715.,2.9625835419
619735.,-18.3683757782,619735.,1.2406126261,619735.,2.9376347065
619755.,-15.5719890594,619755.,0.7735440731,619755.,-3.7745621204
619775.,-12.6021442413,619775.,0.9311749935,619775.,0.6412009001
619795.,-9.5867929459,619795.,0.9373434782,619795.,4.3682155609
619815.,-6.6111464500,619815.,0.107283175,619815.,-2.0671722889
619835.,-3.3232922554,619835.,-0.3019514084,619835.,-1.9959316254
619855.,-0.4071798325,619855.,-0.2060484290,619855.,3.6875209808
619875.,2.8976948261,619875.,-1.1280487776,619875.,-0.3659373522
619895.,5.7700967789,619895.,-0.6774927378,619895.,-3.4675445557
619915.,9.2685546875,619915.,-0.9381074309,619915.,2.147616148
619935.,12.0599412918,619935.,-1.2522968054,619935.,1.1966832876
619955.,15.443605423,619955.,-1.3280354738,619955.,-2.9516935349
619975.,18.6374759674,619975.,-1.6268485785,619975.,-0.119571209
619995.,21.1947193146,619995.,-1.629603982,619995.,2.9726030827
620015.,23.4448451996,620015.,-0.6803164482,620015.,-3.7540342808
620035.,25.8584136963,620035.,-0.7088184953,620035.,-1.2277706861
620055.,28.6279430389,620055.,-0.2119629979,620055.,2.5835382938
620075.,30.6554908752,620075.,-0.4116930068,620075.,-1.4932290316
620095.,32.5420722961,620095.,-0.2673220634,620095.,-2.1663424969
620115.,34.7653465271,620115.,0.6408807039,620115.,1.6405521631
620135.,33.7959899902,620135.,0.5285592675,620135.,-0.3831597865
