k_ep,k_run,t,Policy_Trg_Action,Policy_Flip_Action,mu,sigma,policy,x,y,z,vx,vy,vz,D_perp,Tau,Tau_est,Theta_x,Theta_x_est,Theta_y,Theta_y_est,flip_flag,impact_flag,eul_x,eul_y,eul_z,wx,wy,wz,qx,qy,qz,qw,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: PARAM_OPTIM, SAR_Type: Source_One_V5, SAR_Config: Base_Model}, PLANE_SETTINGS: {Plane_Config: Checkerboard_L02}, 
# String Length: 24.8cm, String Distance: 22 mm
0,0,1421.785,0.000,0.000,--,--,--, 0.632, 0.001,-0.637, 3.521, 0.009,-3.551, 2.602, 0.000, 0.000, 1.315, 0.000, 0.003,0.000,False,False, 0.317,-0.000, 0.000, 0.120,-0.010,-0.003, 0.003, 0.000, 0.000, 1.000, 7.585,-0.098,-0.583,-0.009, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1421.821,0.000,0.000,--,--,--, 0.780, 0.001,-0.787, 3.914, 0.011,-3.947, 2.827, 0.000, 0.000, 1.419, 0.000, 0.004,0.000,False,False, 0.634,-0.000, 0.000, 0.140,-0.010,-0.003, 0.006, 0.000, 0.000, 1.000, 7.585,-0.098,-0.583,-0.009, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1421.881,0.000,0.000,--,--,--, 1.033, 0.002,-1.042, 4.503, 0.013,-4.542, 2.997, 0.000, 0.000, 1.469, 0.000, 0.004,0.000,False,False, 1.110,-0.000, 0.000, 0.170, 0.000, 0.005, 0.010, 0.000, 0.000, 1.000, 7.585,-0.098,-0.583,-0.009, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1421.917,0.000,0.000,--,--,--, 1.221, 0.003,-1.231, 4.896, 0.015,-4.938, 3.286, 0.000, 0.000, 1.522, 0.000, 0.004,0.000,False,False, 1.586,-0.000, 0.000, 0.190,-0.010,-0.001, 0.014, 0.000, 0.000, 1.000, 7.585,-0.098,-0.583,-0.009, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1421.965,0.000,0.000,--,--,--, 1.430, 0.003,-1.442, 5.298, 0.016,-5.343, 3.607, 0.000, 0.000, 1.550, 0.000, 0.004,0.000,False,False, 2.062,-0.000, 0.000, 0.210, 0.010,-0.001, 0.018, 0.000, 0.000, 1.000, 10.083,-0.532,-1.016, 0.012, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.037,0.000,0.000,--,--,--, 1.885, 0.005,-1.901, 6.083, 0.018,-6.134, 3.721, 0.000, 0.000, 1.555, 0.000, 0.004,0.000,False,False, 3.013,-0.000, 0.000, 0.250,-0.010,-0.003, 0.026, 0.000, 0.000, 1.000, 10.083,-0.532,-1.016, 0.012, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.085,0.000,0.000,--,--,--, 2.136, 0.006,-2.154, 6.475, 0.018,-6.529, 4.089, 0.000, 0.000, 1.559, 0.000, 0.004,0.000,False,False, 3.648,-0.000, 0.000, 0.260,-0.020,-0.001, 0.032, 0.000, 0.000, 0.999, 10.083,-0.532,-1.016, 0.012, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.121,0.000,0.000,--,--,--, 2.403, 0.006,-2.423, 6.868, 0.019,-6.925, 4.493, 0.000, 0.000, 1.550, 0.000, 0.004,0.000,False,False, 4.282,-0.000, 0.000, 0.280,-0.020, 0.000, 0.037, 0.000, 0.000, 0.999, 10.083,-0.532,-1.016, 0.012, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.181,0.000,0.000,--,--,--, 2.833, 0.008,-2.857, 7.458, 0.018,-7.517, 4.782, 0.000, 0.000, 1.538, 0.000, 0.003,0.000,False,False, 5.235,-0.000, 0.000, 0.310,-0.030,-0.003, 0.046,-0.000, 0.000, 0.999, 10.083,-0.532,-1.016, 0.012, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.205,0.000,0.000,--,--,--, 2.984, 0.008,-3.009, 7.654, 0.018,-7.715, 5.245, 0.000, 0.000, 1.515, 0.000, 0.003,0.000,False,False, 5.552,-0.158,-0.008, 0.310,-0.010,-0.002, 0.048,-0.001, 0.000, 0.999, 10.083,-0.532,-1.016, 0.012, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.264,0.000,0.000,--,--,--, 3.461, 0.009,-3.490, 8.242, 0.016,-8.307, 5.743, 0.000, 0.000, 1.486, 0.000, 0.002,0.000,False,False, 6.664,-0.158,-0.009, 0.340, 0.000, 0.002, 0.058,-0.001,-0.000, 0.998, 13.567,-1.073,-1.250, 0.054, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.336,0.000,0.000,--,--,--, 4.152, 0.010,-4.186, 9.028, 0.012,-9.098, 5.917, 0.000, 0.000, 1.475, 0.000, 0.002,0.000,False,False, 8.253,-0.000,-0.000, 0.370, 0.010,-0.003, 0.072,-0.000,-0.000, 0.997, 13.567,-1.073,-1.250, 0.054, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.384,0.000,0.000,--,--,--, 4.521, 0.011,-4.558, 9.419, 0.009,-9.494, 6.463, 0.000, 0.000, 1.442, 0.000, 0.001,0.000,False,False, 9.048,-0.000,-0.000, 0.380,-0.010, 0.003, 0.079,-0.000,-0.000, 0.997, 13.567,-1.073,-1.250, 0.054, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.421,0.000,0.000,--,--,--, 4.906, 0.011,-4.945, 9.809, 0.005,-9.888, 7.045, 0.000, 0.000, 1.406, 0.000, 0.000,0.000,False,False, 9.843,-0.000,-0.000, 0.390,-0.020, 0.001, 0.086,-0.000,-0.000, 0.996, 13.567,-1.073,-1.250, 0.054, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.456,0.000,0.000,--,--,--, 0.001, 0.000,-0.001, 0.188, 0.001,-0.187, 2.004, 0.000, 0.000, 0.147, 0.000, 0.000,0.000,False,False, 0.476,-0.000, 0.000, 0.400,-0.020, 0.000, 0.004,-0.000, 0.000, 1.000, 6.439,-0.760,-0.098,-0.002, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.516,0.000,0.000,--,--,--, 0.031, 0.000,-0.031, 0.783, 0.004,-0.790, 2.040, 0.000, 0.000, 0.432, 0.000, 0.002,0.000,False,False, 1.903,-0.000, 0.000, 0.410,-0.030,-0.010, 0.017,-0.000, 0.000, 1.000, 6.439,-0.760,-0.098,-0.002, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.564,0.000,0.000,--,--,--, 0.070, 0.000,-0.071, 1.176, 0.006,-1.185, 2.059, 0.000, 0.000, 0.524, 0.000, 0.002,0.000,False,False, 2.855,-0.159,-0.004, 0.430,-0.020,-0.016, 0.025,-0.001,-0.000, 1.000, 6.883,-0.956,-0.309, 0.012, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.635,0.000,0.000,--,--,--, 0.196, 0.001,-0.197, 1.960, 0.010,-1.975, 2.142, 0.000, 0.000, 0.779, 0.000, 0.004,0.000,False,False, 4.758,-0.158,-0.007, 0.440, 0.010, 0.009, 0.042,-0.001,-0.000, 0.999, 6.883,-0.956,-0.309, 0.012, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.683,0.000,0.000,--,--,--, 0.282, 0.001,-0.284, 2.352, 0.011,-2.370, 2.261, 0.000, 0.000, 0.997, 0.000, 0.005,0.000,False,False, 5.711,-0.158,-0.008, 0.440, 0.010, 0.001, 0.050,-0.001,-0.000, 0.999, 6.883,-0.956,-0.309, 0.012, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.719,0.000,0.000,--,--,--, 0.384, 0.001,-0.387, 2.746, 0.012,-2.765, 2.415, 0.000, 0.000, 1.178, 0.000, 0.005,0.000,False,False, 6.822,-0.158,-0.009, 0.440, 0.010,-0.003, 0.060,-0.001,-0.000, 0.998, 6.883,-0.956,-0.309, 0.012, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.755,0.000,0.000,--,--,--, 0.502, 0.002,-0.505, 3.139, 0.013,-3.160, 2.537, 0.000, 0.000, 1.275, 0.000, 0.005,0.000,False,False, 7.776,-0.000,-0.000, 0.450, 0.000,-0.002, 0.068,-0.000,-0.000, 0.998, 8.071,-1.334,-0.701, 0.043, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.839,0.000,0.000,--,--,--, 0.784, 0.003,-0.790, 3.923, 0.015,-3.950, 2.751, 0.000, 0.000, 1.390, 0.000, 0.005,0.000,False,False, 9.843,-0.000,-0.000, 0.450,-0.010, 0.000, 0.086,-0.000,-0.000, 0.996, 8.071,-1.334,-0.701, 0.043, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.863,0.000,0.000,--,--,--, 0.865, 0.003,-0.871, 4.120, 0.014,-4.148, 2.830, 0.000, 0.000, 1.421, 0.000, 0.005,0.000,False,False, 10.321,-0.000,-0.000, 0.450,-0.010, 0.000, 0.090,-0.000,-0.000, 0.996, 8.808,-1.495,-0.829, 0.061, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.935,0.000,0.000,--,--,--, 1.226, 0.005,-1.234, 4.904, 0.013,-4.938, 3.090, 0.000, 0.000, 1.491, 0.000, 0.004,0.000,False,False, 12.233,-0.158,-0.017, 0.450,-0.010,-0.004, 0.107,-0.001,-0.000, 0.994, 8.808,-1.495,-0.829, 0.061, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1422.983,0.000,0.000,--,--,--, 1.430, 0.005,-1.440, 5.296, 0.012,-5.333, 3.387, 0.000, 0.000, 1.534, 0.000, 0.003,0.000,False,False, 13.190,-0.158,-0.018, 0.440,-0.010, 0.000, 0.115,-0.001,-0.000, 0.993, 8.808,-1.495,-0.829, 0.061, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
