k_ep,k_run,t,Policy_Trg_Action,Policy_Flip_Action,mu,sigma,policy,x,y,z,vx,vy,vz,D_perp,Tau,Tau_est,Theta_x,Theta_x_est,Theta_y,Theta_y_est,flip_flag,impact_flag,eul_x,eul_y,eul_z,wx,wy,wz,qx,qy,qz,qw,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: PARAM_OPTIM, SAR_Type: Source_One_V5, SAR_Config: Base_Model}, PLANE_SETTINGS: {Plane_Config: Checkerboard_L02}, 
0,0,581.585,0.000,0.000,--,--,--, 0.471,-0.007,-0.481, 3.040,-0.045,-3.101, 2.451, 0.000, 0.000, 1.200, 0.000,-0.018,0.000,False,False, 1.269,-0.476,-0.005, 0.020,-0.030, 0.008, 0.011,-0.004, 0.000, 1.000, 7.415,-0.168,-0.396, 0.005, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,581.621,0.000,0.000,--,--,--, 0.534,-0.008,-0.545, 3.239,-0.048,-3.301, 2.513, 0.000, 0.000, 1.248, 0.000,-0.019,0.000,False,False, 1.269,-0.634,-0.007, 0.020,-0.020, 0.004, 0.011,-0.006, 0.000, 1.000, 8.114,-0.135,-0.620, 0.000, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,581.669,0.000,0.000,--,--,--, 0.600,-0.009,-0.613, 3.434,-0.051,-3.500, 2.649, 0.000, 0.000, 1.333, 0.000,-0.020,0.000,False,False, 1.269,-0.634,-0.007, 0.010,-0.020, 0.003, 0.011,-0.006, 0.000, 1.000, 8.114,-0.135,-0.620, 0.000, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,581.717,0.000,0.000,--,--,--, 0.746,-0.011,-0.761, 3.827,-0.057,-3.900, 2.801, 0.000, 0.000, 1.401, 0.000,-0.021,0.000,False,False, 1.269,-0.634,-0.007, 0.000, 0.000, 0.003, 0.011,-0.006, 0.000, 1.000, 8.114,-0.135,-0.620, 0.000, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,581.777,0.000,0.000,--,--,--, 0.907,-0.014,-0.925, 4.220,-0.064,-4.298, 2.883, 0.000, 0.000, 1.429, 0.000,-0.022,0.000,False,False, 1.269,-0.634,-0.007,-0.010, 0.000,-0.002, 0.011,-0.006, 0.000, 1.000, 8.924,-0.092,-0.804, 0.009, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,581.825,0.000,0.000,--,--,--, 0.993,-0.015,-1.013, 4.415,-0.068,-4.497, 2.969, 0.000, 0.000, 1.454, 0.000,-0.023,0.000,False,False, 1.269,-0.634,-0.007,-0.020, 0.000, 0.002, 0.011,-0.006, 0.000, 1.000, 8.924,-0.092,-0.804, 0.009, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,581.871,0.000,0.000,--,--,--, 1.083,-0.017,-1.105, 4.612,-0.072,-4.696, 3.152, 0.000, 0.000, 1.493, 0.000,-0.024,0.000,False,False, 1.269,-0.634,-0.007,-0.020,-0.020, 0.004, 0.011,-0.006, 0.000, 1.000, 8.924,-0.092,-0.804, 0.009, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,581.919,0.000,0.000,--,--,--, 1.276,-0.019,-1.301, 5.003,-0.079,-5.092, 3.352, 0.000, 0.000, 1.521, 0.000,-0.024,0.000,False,False, 1.269,-0.634,-0.007,-0.030,-0.030, 0.003, 0.011,-0.006, 0.000, 1.000, 8.924,-0.092,-0.804, 0.009, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,581.955,0.000,0.000,--,--,--, 1.378,-0.021,-1.405, 5.199,-0.082,-5.291, 3.458, 0.000, 0.000, 1.531, 0.000,-0.025,0.000,False,False, 1.110,-0.634,-0.006,-0.040,-0.030, 0.000, 0.010,-0.006, 0.000, 1.000, 9.855,-0.035,-0.876, 0.007, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
