gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
66977.,-1.5113186836,66977.,9.7301082611,66977.,0.1707362384
66997.,-2.1200635433,66997.,13.7740926743,66997.,-0.1526461989
67017.,-2.7368550301,67017.,17.5856246948,67017.,0.2746110857
67037.,-3.3842291832,67037.,20.3210659027,67037.,0.308038801
67057.,-3.3778495789,67057.,23.6939163208,67057.,0.1944043487
67077.,-3.2652735710,67077.,26.410900116,67077.,0.4060254991
67097.,-3.4544355869,67097.,28.6809463501,67097.,0.3530727625
67117.,-3.1528267860,67117.,30.7565021515,67117.,0.6989594102
67137.,-1.9294227362,67137.,33.1232070923,67137.,0.6699900627
67157.,-1.1560157537,67157.,33.8418655396,67157.,0.3465254903
67177.,-0.1969614029,67177.,35.3092193604,67177.,0.4473412037
67197.,0.3099325597,67197.,35.4606666565,67197.,0.3029555976
67217.,1.3854672909,67217.,34.8776550293,67217.,0.6061052680
67237.,2.2826352119,67237.,35.4669914246,67237.,0.3184970617
67257.,2.7703046799,67257.,34.7105178833,67257.,0.1891367584
67277.,3.1180670261,67277.,33.0822639465,67277.,0.3249316514
67297.,3.0777862072,67297.,32.6411476135,67297.,0.2395920008
67317.,3.0155754089,67317.,29.7195148468,67317.,0.2429927737
67337.,2.853307724,67337.,27.6102771759,67337.,0.0656441003
67357.,2.1643652916,67357.,25.1250514984,67357.,-0.1767881215
67377.,1.7708197832,67377.,22.1651039124,67377.,-0.0202759225
67397.,0.7815435529,67397.,18.7635345459,67397.,0.0134154446
67417.,0.1443284005,67417.,15.6590824127,67417.,0.1801843047
67437.,-0.3412668407,67437.,12.0787639618,67437.,0.0558394119
67457.,-0.7686685324,67457.,8.3111543655,67457.,0.0909961313
67477.,-0.9685850143,67477.,4.9114065170,67477.,0.2659022510
67497.,-1.3716083765,67497.,1.0346852541,67497.,0.0618429855
67517.,-0.8611165881,67517.,-3.5899312496,67517.,0.2851393223
67537.,-0.3739308417,67537.,-6.6837472916,67537.,0.2903514206
67557.,-0.0901515782,67557.,-11.2764377594,67557.,0.0891952887
67577.,0.4531475604,67577.,-14.4635534286,67577.,0.3426665664
67597.,0.7554668188,67597.,-18.1073074341,67597.,0.1847475916
67617.,1.9042608738,67617.,-21.6803627014,67617.,0.106285207
