gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
231089.,0.5736747980,231089.,0.0179850888,231089.,0.0003705493
231109.,0.6632263064,231109.,-1.4685508013,231109.,0.1732228547
231129.,0.0687399805,231129.,-3.2170047760,231129.,-0.1120275408
231149.,0.5088498592,231149.,-4.5134873390,231149.,-0.3098626733
231169.,0.4012019932,231169.,-6.1764240265,231169.,-0.4770557880
231189.,-0.1110430434,231189.,-7.5935006142,231189.,-0.3787759542
231209.,-0.2809903026,231209.,-8.9715957642,231209.,-0.0993954167
231229.,-0.1298329979,231229.,-10.4294843674,231229.,0.1230280772
231249.,-0.3295227885,231249.,-11.6157217026,231249.,-0.3482192755
231269.,-0.2201057225,231269.,-12.9115085602,231269.,-0.4280481339
231289.,-0.1829046309,231289.,-14.3626766205,231289.,-0.2293210924
231309.,-0.5205958486,231309.,-15.7823734283,231309.,-0.1986607909
231329.,-0.3447295427,231329.,-16.8809680939,231329.,-0.2611337900
231349.,-0.2256637663,231349.,-18.1174125671,231349.,-0.6616864204
231369.,-0.1498282552,231369.,-19.2568340302,231369.,-0.3225261271
231389.,-0.3400478065,231389.,-20.4727020264,231389.,-0.1930652559
231409.,-0.1386761367,231409.,-21.1693019867,231409.,-0.3090277910
231429.,0.1100395247,231429.,-22.2854499817,231429.,-0.1213527992
231449.,0.3481153548,231449.,-23.168466568,231449.,-0.2826164961
231469.,0.3966649771,231469.,-23.8237209320,231469.,0.0336304493
231489.,0.5239176750,231489.,-24.6062393188,231489.,-0.2241345197
231509.,0.8065825105,231509.,-25.9403629303,231509.,-0.5840729475
231529.,0.713167727,231529.,-25.8579902649,231529.,-0.4194130898
231549.,0.9647330046,231549.,-26.1553936005,231549.,-0.4225390553
231569.,0.9780225158,231569.,-27.0168609619,231569.,-0.5950602293
231589.,0.9769951701,231589.,-27.2638969421,231589.,-0.5599379539
231609.,0.9146320224,231609.,-27.1766853333,231609.,-0.7724961638
231629.,0.8833221197,231629.,-27.4743442535,231629.,-0.4980145693
231649.,0.9926226735,231649.,-27.6766719818,231649.,-0.4550274312
231669.,0.7813284397,231669.,-27.2048168182,231669.,-0.6484599113
231689.,0.7795220613,231689.,-27.6576004028,231689.,-0.5718345046
231709.,0.563916564,231709.,-27.2344703674,231709.,-0.4767628312
231729.,0.6400069594,231729.,-26.8566551208,231729.,-0.875063777
231749.,0.3567591608,231749.,-25.9165897369,231749.,-0.4705660343
231769.,0.2569337487,231769.,-26.5139255524,231769.,-0.5755352974
231789.,0.2298406959,231789.,-25.6498565674,231789.,-0.4971981645
231809.,-0.1965882927,231809.,-24.75730896,231809.,-0.5898011327
231829.,-0.1106993034,231829.,-24.2167358398,231829.,-0.1729201376
231849.,-0.1898618639,231849.,-23.3901443481,231849.,-0.499529928
231869.,-0.5340601802,231869.,-22.8058300018,231869.,-0.2085707486
231889.,-0.6808228493,231889.,-21.5981349945,231889.,-0.5847166181
231909.,-0.3161882460,231909.,-20.3420944214,231909.,-0.4007824957
231929.,-0.6593965888,231929.,-19.8834819794,231929.,-0.6436087489
231949.,-0.8684734702,231949.,-18.2984199524,231949.,-0.1329579800
231969.,-0.1619879901,231969.,-17.3094139099,231969.,-0.3026142418
231989.,-0.3230295777,231989.,-15.6966485977,231989.,-0.4698678255
232009.,-0.2823955417,232009.,-14.5586633682,232009.,-0.0551071651
232029.,-0.1837374121,232029.,-13.8967523575,232029.,-0.0462095663
232049.,-0.1929659098,232049.,-11.9748811722,232049.,-0.3890787363
232069.,0.1829702854,232069.,-10.4743432999,232069.,0.2249487787
232089.,0.1573815197,232089.,-9.392947197,232089.,-0.1379524469
232109.,0.1484417170,232109.,-7.8696994781,232109.,-0.0542146415
232129.,-0.0974556059,232129.,-6.1089601517,232129.,0.0164529644
232149.,0.2254393995,232149.,-5.4829063416,232149.,-0.0452287197
232169.,-0.1009007096,232169.,-3.4445352554,232169.,0.2043997496
232189.,-0.0653949603,232189.,-1.9811329842,232189.,0.1186428741
232209.,-0.0778609738,232209.,-0.4784381688,232209.,0.2773408592
232229.,-0.4479652941,232229.,0.7724655271,232229.,0.2041349262
232249.,-0.7364263535,232249.,2.407402277,232249.,0.0018331987
232269.,-0.7505314350,232269.,3.6424334049,232269.,-0.1373971105
232289.,-0.7616426349,232289.,5.2248601913,232289.,-0.241886586
232309.,-0.8783201575,232309.,6.3786163330,232309.,0.2116436511
232329.,-0.8962317705,232329.,7.7853717804,232329.,-0.0148028135
232349.,-0.9014598131,232349.,9.5320863724,232349.,0.1399553269
232369.,-1.0876210928,232369.,10.3591308594,232369.,0.1879920214
232389.,-1.778447032,232389.,11.4174575806,232389.,0.2084481120
232409.,-1.6127440929,232409.,12.4956893921,232409.,-0.0223645736
232429.,-1.4319419861,232429.,13.4059782028,232429.,0.6258838177
232449.,-1.3492894173,232449.,14.0456628799,232449.,0.0375386365
232469.,-1.4866513014,232469.,15.6101169586,232469.,0.6985752583
232489.,-1.4996060133,232489.,16.5333309174,232489.,0.4205815494
232509.,-1.2898119688,232509.,16.5694732666,232509.,-0.0152416378
232529.,-1.2769577503,232529.,17.4875202179,232529.,0.3055079877
232549.,-1.3872652054,232549.,18.1444358826,232549.,0.5470132232
232569.,-0.8769061565,232569.,18.4863471985,232569.,0.2969685197
232589.,-0.7356495261,232589.,19.0234012604,232589.,0.1501669586
232609.,-0.4957698882,232609.,19.6117248535,232609.,0.2932351828
232629.,-0.5110210776,232629.,20.1157989502,232629.,0.5233979225
232649.,-0.4937787652,232649.,20.1405830383,232649.,0.0800924823
232669.,-0.2200870514,232669.,19.7396888733,232669.,0.1199314892
232689.,-0.2518059313,232689.,20.1704978943,232689.,0.1176632941
232709.,-0.1274993867,232709.,19.8123321533,232709.,0.2015302628
232729.,0.1287366897,232729.,19.9375495911,232729.,-0.0460811220
232749.,0.1521336883,232749.,19.7721805573,232749.,0.3696326613
232769.,-0.1869425923,232769.,19.4522514343,232769.,-0.1140117422
232789.,-0.3802676499,232789.,18.7039661407,232789.,0.346459806
232809.,-0.4028331935,232809.,18.330696106,232809.,0.2271636873
232829.,-0.3753589988,232829.,17.4782810211,232829.,0.3765555322
232849.,-0.0735881776,232849.,16.8611698151,232849.,0.2085947394
232869.,-0.5118268132,232869.,16.0805568695,232869.,0.2172423899
232889.,-0.6493667960,232889.,15.0332546234,232889.,0.0468286127
232909.,-0.5010600686,232909.,14.3960142136,232909.,0.1189888418
232929.,-0.550727129,232929.,13.6137075424,232929.,0.4738160968
232949.,-0.3472733498,232949.,12.2094812393,232949.,0.2442460060
232969.,-0.5310741067,232969.,11.2494716644,232969.,-0.0490803719
232989.,-0.6160768867,232989.,10.4702033997,232989.,0.2118079513
233009.,-0.3741940558,233009.,9.1857175827,233009.,0.1329721063
233029.,-0.0461539663,233029.,7.4196429253,233029.,0.3901422918
233049.,-0.3398792744,233049.,6.3605561256,233049.,0.4110572934
233069.,-0.1154433638,233069.,4.5881080627,233069.,0.1911728829
233089.,0.2378840744,233089.,3.729031086,233089.,-0.1309625506
233109.,0.2390117943,233109.,1.8208211660,233109.,-0.1338490695
233129.,0.6590942144,233129.,0.6720770597,233129.,-0.1578951329
233149.,0.5256900787,233149.,-0.7064691186,233149.,0.1115422398
233169.,0.4576897025,233169.,-2.0375425816,233169.,0.0698347762
233189.,0.8264399767,233189.,-3.500518322,233189.,0.0420156866
233209.,1.0852893591,233209.,-4.6506009102,233209.,0.0381130613
233229.,0.8766634464,233229.,-6.5836544037,233229.,0.0346355177
233249.,0.8512877226,233249.,-7.8204727173,233249.,0.0955364853
233269.,0.9512807131,233269.,-9.0652570724,233269.,-0.2278115302
233289.,0.9046517015,233289.,-10.9098873138,233289.,-0.1268427521
233309.,0.9403424859,233309.,-12.1511907578,233309.,-0.0278384369
233329.,0.6778799891,233329.,-13.1275844574,233329.,-0.3474662304
233349.,0.8069266081,233349.,-14.597858429,233349.,-0.0555537529
233369.,0.6685832143,233369.,-15.8766403198,233369.,-0.2436929494
233389.,0.4230963886,233389.,-17.4629497528,233389.,-0.3650763929
233409.,0.4912874997,233409.,-18.2684535980,233409.,-0.2606593370
233429.,0.6493455172,233429.,-19.4713687897,233429.,-0.0432112999
233449.,0.0568436533,233449.,-20.3197669983,233449.,-0.3413874507
233469.,-0.0159103032,233469.,-21.3893756866,233469.,-0.5334828496
233489.,-0.0168655831,233489.,-22.6679229736,233489.,-0.6152072549
233509.,-0.0844209492,233509.,-23.0755157471,233509.,-0.362421155
233529.,-0.1301238686,233529.,-24.0675945282,233529.,-0.2828679681
233549.,-0.1423497796,233549.,-24.5515975952,233549.,-0.288007319
233569.,0.3604265451,233569.,-25.4703826904,233569.,-0.396832794
233589.,0.0646236688,233589.,-26.1288738251,233589.,-0.3708114624
233609.,0.1686228216,233609.,-26.1283931732,233609.,-0.7040875554
233629.,-0.0194933154,233629.,-27.0550346375,233629.,-0.4894243181
233649.,0.0543032475,233649.,-27.1197242737,233649.,-0.4249074459
233669.,0.3365505934,233669.,-27.2265243530,233669.,-0.2262181938
233689.,0.4789090753,233689.,-27.8217029572,233689.,-0.7459134459
233709.,0.3843576610,233709.,-28.032617569,233709.,-0.3920784295
233729.,0.4660045505,233729.,-27.2870197296,233729.,-0.4243302345
233749.,0.5956065655,233749.,-27.2134552002,233749.,-0.2710914612
233769.,0.5630999207,233769.,-26.9893798828,233769.,-0.8184681535
233789.,0.4391400218,233789.,-26.7063713074,233789.,-0.913392067
233809.,0.4611441791,233809.,-26.1277980804,233809.,-0.4340024590
233829.,0.4322089255,233829.,-25.5412578583,233829.,-0.6440780163
233849.,0.288784802,233849.,-24.8428611755,233849.,-0.6523109674
233869.,0.2145690769,233869.,-24.4981441498,233869.,-0.4960070252
233889.,-0.2634276152,233889.,-24.2298927307,233889.,-0.3338750899
233909.,-0.0335436687,233909.,-22.7866573334,233909.,-0.4480830431
233929.,-0.5262632966,233929.,-22.0695133209,233929.,-0.0246272776
233949.,-0.4151010811,233949.,-20.9169769287,233949.,-0.319231391
233969.,-0.7659721375,233969.,-20.4894199371,233969.,-0.0694451854
233989.,-0.6462065578,233989.,-18.7872085571,233989.,-0.2359986007
234009.,-0.9883953929,234009.,-18.0061836243,234009.,-0.2900702059
234029.,-1.3344452381,234029.,-16.8190994263,234029.,-0.0774371848
234049.,-1.3409612179,234049.,-15.1290168762,234049.,-0.5800685883
234069.,-1.2088055611,234069.,-14.0198717117,234069.,-0.2037966400
234089.,-1.2044006586,234089.,-12.8317708969,234089.,-0.3537254632
234109.,-1.1192529202,234109.,-11.9258823395,234109.,0.0466636643
234129.,-1.3264342546,234129.,-10.1971664429,234129.,-0.064538762
234149.,-1.3427038193,234149.,-8.3711109161,234149.,0.1686320603
234169.,-1.2562940121,234169.,-7.3593540192,234169.,-0.2238843590
234189.,-1.1744884253,234189.,-5.9466352463,234189.,-0.1321547329
234209.,-0.9414377809,234209.,-4.7733697891,234209.,-0.2060077637
234229.,-0.8633775115,234229.,-3.062432766,234229.,-0.1356088519
234249.,-0.9854980707,234249.,-1.6143414974,234249.,0.1843197495
234269.,-0.8777948618,234269.,0.0938973203,234269.,0.279312104
