k_ep,k_run,t,Policy_Trg_Action,Policy_Flip_Action,mu,sigma,policy,x,y,z,vx,vy,vz,D_perp,Tau,Tau_est,Theta_x,Theta_x_est,Theta_y,Theta_y_est,flip_flag,impact_flag,eul_x,eul_y,eul_z,wx,wy,wz,qx,qy,qz,qw,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: PARAM_OPTIM, SAR_Type: Source_One_V5, SAR_Config: Base_Model}, PLANE_SETTINGS: {Plane_Config: Checkerboard_L02}, 
# String Length: 27.3cm, String Distance: 25mm

0,0,1957.617,0.000,0.000,--,--,--, 0.007, 0.141,-0.147, 0.086, 1.674,-1.742, 2.147, 0.000, 0.000, 0.040, 0.000, 0.779,0.000,False,False, 0.000, 1.586, 0.000, 0.010, 0.110,-0.013, 0.000, 0.014,-0.000, 1.000, 6.911, 0.291,-0.348, 0.001, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1957.677,0.000,0.000,--,--,--, 0.013, 0.259,-0.270, 0.117, 2.268,-2.361, 2.225, 0.000, 0.000, 0.048, 0.000, 0.930,0.000,False,False, 0.161, 1.903,-0.156, 0.010, 0.090,-0.018, 0.001, 0.017,-0.001, 1.000, 6.911, 0.291,-0.348, 0.001, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1957.725,0.000,0.000,--,--,--, 0.018, 0.358,-0.372, 0.137, 2.664,-2.773, 2.270, 0.000, 0.000, 0.051, 0.000, 0.999,0.000,False,False, 0.161, 2.062,-0.156, 0.010, 0.070, 0.003, 0.001, 0.018,-0.001, 1.000, 6.911, 0.291,-0.348, 0.001, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1957.773,0.000,0.000,--,--,--, 0.027, 0.535,-0.557, 0.168, 3.258,-3.393, 2.557, 0.000, 0.000, 0.065, 0.000, 1.273,0.000,False,False, 0.162, 2.220,-0.155, 0.010, 0.040,-0.002, 0.001, 0.019,-0.001, 1.000, 6.911, 0.291,-0.348, 0.001, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1957.821,0.000,0.000,--,--,--, 0.034, 0.674,-0.701, 0.190, 3.654,-3.805, 2.701, 0.000, 0.000, 0.070, 0.000, 1.352,0.000,False,False, 0.320, 2.379,-0.152, 0.020, 0.040,-0.006, 0.003, 0.021,-0.001, 1.000, 8.301, 0.655,-0.279, 0.022, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1957.881,0.000,0.000,--,--,--, 0.047, 0.915,-0.953, 0.223, 4.259,-4.435, 2.866, 0.000, 0.000, 0.074, 0.000, 1.416,0.000,False,False, 0.320, 2.379,-0.152, 0.000, 0.000, 0.007, 0.003, 0.021,-0.001, 1.000, 8.301, 0.655,-0.279, 0.022, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1957.905,0.000,0.000,--,--,--, 0.052, 1.002,-1.044, 0.233, 4.457,-4.641, 3.138, 0.000, 0.000, 0.077, 0.000, 1.483,0.000,False,False, 0.320, 2.379,-0.152, 0.000,-0.010, 0.004, 0.003, 0.021,-0.001, 1.000, 8.301, 0.655,-0.279, 0.022, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1957.977,0.000,0.000,--,--,--, 0.072, 1.391,-1.448, 0.277, 5.250,-5.466, 3.341, 0.000, 0.000, 0.079, 0.000, 1.512,0.000,False,False, 0.320, 2.379,-0.152,-0.010,-0.040, 0.005, 0.003, 0.021,-0.001, 1.000, 8.301, 0.655,-0.279, 0.022, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1958.025,0.000,0.000,--,--,--, 0.083, 1.609,-1.675, 0.298, 5.646,-5.879, 3.448, 0.000, 0.000, 0.080, 0.000, 1.522,0.000,False,False, 0.320, 2.221,-0.152,-0.010,-0.060, 0.004, 0.003, 0.019,-0.001, 1.000, 8.301, 0.655,-0.279, 0.022, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1958.073,0.000,0.000,--,--,--, 0.102, 1.965,-2.046, 0.332, 6.242,-6.499, 4.046, 0.000, 0.000, 0.082, 0.000, 1.542,0.000,False,False, 0.320, 2.062,-0.153,-0.020,-0.090,-0.002, 0.003, 0.018,-0.001, 1.000, 8.301, 0.655,-0.279, 0.022, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1958.073,0.000,0.000,--,--,--, 0.102, 1.965,-2.046, 0.332, 6.242,-6.499, 4.178, 0.000, 0.000, 0.082, 0.000, 1.541,0.000,False,False, 0.320, 2.062,-0.153,-0.020,-0.090,-0.002, 0.003, 0.018,-0.001, 1.000, 11.139, 1.054,-0.052, 0.009, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1958.180,0.000,0.000,--,--,--, 0.138, 2.639,-2.748, 0.387, 7.231,-7.530, 4.599, 0.000, 0.000, 0.081, 0.000, 1.529,0.000,False,False, 0.159, 1.427, 0.002,-0.020,-0.120,-0.003, 0.001, 0.012,-0.000, 1.000, 11.139, 1.054,-0.052, 0.009, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1958.216,0.000,0.000,--,--,--, 0.154, 2.936,-3.057, 0.410, 7.628,-7.942, 5.057, 0.000, 0.000, 0.081, 0.000, 1.508,0.000,False,False, 0.159, 1.110, 0.002,-0.020,-0.150, 0.001, 0.001, 0.010,-0.000, 1.000, 12.357, 1.144, 0.063, 0.015, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1958.276,0.000,0.000,--,--,--, 0.180, 3.412,-3.552, 0.443, 8.221,-8.561, 5.383, 0.000, 0.000, 0.080, 0.000, 1.490,0.000,False,False, 0.159, 0.634, 0.001,-0.010,-0.170, 0.020, 0.001, 0.006,-0.000, 1.000, 12.357, 1.144, 0.063, 0.015, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1958.336,0.000,0.000,--,--,--, 0.207, 3.923,-4.084, 0.476, 8.816,-9.179, 5.552, 0.000, 0.000, 0.079, 0.000, 1.480,0.000,False,False, 0.159,-0.000, 0.000,-0.010,-0.200,-0.010, 0.001, 0.000, 0.000, 1.000, 12.357, 1.144, 0.063, 0.015, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1958.372,0.000,0.000,--,--,--, 0.227, 4.283,-4.460, 0.497, 9.212,-9.591, 6.460, 0.000, 0.000, 0.077, 0.000, 1.426,0.000,False,False, 0.159,-0.317,-0.000,-0.010,-0.210, 0.006, 0.001,-0.003,-0.000, 1.000, 12.357, 1.144, 0.063, 0.015, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1958.420,0.000,0.000,--,--,--, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000, 2.000, 5.000, 0.000, 0.000, 0.000, 0.000,0.000,False,False,-0.000,-0.000, 0.000,-0.010,-0.220, 0.025, 0.000, 0.000, 0.000, 1.000, 15.317, 1.272, 0.321,-0.021, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1958.480,0.000,0.000,--,--,--, 0.000, 0.017,-0.018, 0.032, 0.594,-0.619, 2.008, 0.000, 0.000, 0.010, 0.000, 0.197,0.000,False,False,-0.000,-0.793, 0.000,-0.010,-0.250,-0.003,-0.000,-0.007, 0.000, 1.000, 15.317, 1.272, 0.321,-0.021, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1958.504,0.000,0.000,--,--,--, 0.001, 0.031,-0.033, 0.043, 0.792,-0.826, 2.051, 0.000, 0.000, 0.026, 0.000, 0.483,0.000,False,False,-0.000,-1.110, 0.000,-0.010,-0.250, 0.001,-0.000,-0.010, 0.000, 1.000, 15.317, 1.272, 0.321,-0.021, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,1958.576,0.000,0.000,--,--,--, 0.006, 0.126,-0.132, 0.087, 1.585,-1.652, 2.074, 0.000, 0.000, 0.031, 0.000, 0.573,0.000,False,False, 0.003,-2.220, 0.159,-0.020,-0.260, 0.022,-0.000,-0.019, 0.001, 1.000, 15.317, 1.272, 0.321,-0.021, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
