k_ep,k_run,t,Policy_Trg_Action,Policy_Flip_Action,mu,sigma,policy,x,y,z,vx,vy,vz,D_perp,Tau,Tau_est,Theta_x,Theta_x_est,Theta_y,Theta_y_est,flip_flag,impact_flag,eul_x,eul_y,eul_z,wx,wy,wz,qx,qy,qz,qw,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: PARAM_OPTIM, SAR_Type: Source_One_V5, SAR_Config: Base_Model}, PLANE_SETTINGS: {Plane_Config: Checkerboard_L02}, 
# String Distance: 30mm
0,0,21.129,0.000,0.000,--,--,--, 0.001, 0.081,-0.083, 0.023, 1.264,-1.300, 2.071, 0.000, 0.000, 0.010, 0.000, 0.563,0.000,False,False,-0.317, 0.951,-0.003,-0.080, 0.150,-0.011,-0.003, 0.008,-0.000, 1.000, 14.791, 1.197, 0.380,-0.074, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,21.153,0.000,0.000,--,--,--, 0.002, 0.110,-0.113, 0.027, 1.470,-1.511, 2.163, 0.000, 0.000, 0.015, 0.000, 0.815,0.000,False,False,-0.317, 1.110,-0.003,-0.070, 0.150,-0.004,-0.003, 0.010,-0.000, 1.000, 14.791, 1.197, 0.380,-0.074, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,21.212,0.000,0.000,--,--,--, 0.004, 0.216,-0.222, 0.039, 2.058,-2.115, 2.201, 0.000, 0.000, 0.017, 0.000, 0.890,0.000,False,False,-0.476, 1.586,-0.007,-0.010, 0.160, 0.001,-0.004, 0.014,-0.000, 1.000, 7.410, 0.525,-0.426, 0.006, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,21.272,0.000,0.000,--,--,--, 0.006, 0.357,-0.367, 0.051, 2.646,-2.720, 2.340, 0.000, 0.000, 0.021, 0.000, 1.088,0.000,False,False,-0.476, 2.220,-0.009, 0.030, 0.160, 0.006,-0.004, 0.019,-0.000, 1.000, 7.410, 0.525,-0.426, 0.006, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,21.332,0.000,0.000,--,--,--, 0.010, 0.533,-0.548, 0.063, 3.234,-3.326, 2.515, 0.000, 0.000, 0.024, 0.000, 1.246,0.000,False,False,-0.317, 2.696,-0.007, 0.010, 0.170, 0.000,-0.003, 0.024,-0.000, 1.000, 7.410, 0.525,-0.426, 0.006, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,21.332,0.000,0.000,--,--,--, 0.010, 0.533,-0.548, 0.063, 3.234,-3.326, 2.727, 0.000, 0.000, 0.026, 0.000, 1.365,0.000,False,False,-0.317, 2.696,-0.007, 0.010, 0.170, 0.000,-0.003, 0.024,-0.000, 1.000, 7.410, 0.525,-0.426, 0.006, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,21.403,0.000,0.000,--,--,--, 0.015, 0.823,-0.847, 0.079, 4.018,-4.137, 2.889, 0.000, 0.000, 0.028, 0.000, 1.424,0.000,False,False,-0.312, 3.489,-0.168,-0.050, 0.170,-0.002,-0.003, 0.030,-0.001, 1.000, 8.893, 0.955,-0.561, 0.027, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,21.463,0.000,0.000,--,--,--, 0.021, 1.082,-1.113, 0.091, 4.607,-4.744, 3.161, 0.000, 0.000, 0.029, 0.000, 1.488,0.000,False,False,-0.470, 4.123,-0.176,-0.040, 0.170, 0.004,-0.004, 0.036,-0.001, 0.999, 8.893, 0.955,-0.561, 0.027, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
