gyro.x_x,gyro.x_y,gyro.y_x,gyro.y_y,gyro.z_x,gyro.z_y
471156.,0.2369496077,471156.,-0.7254453301,471156.,6.9962024689
471176.,0.0391873904,471176.,-1.0919517279,471176.,6.7795028687
471196.,0.2452674508,471196.,-0.7098923326,471196.,6.5322446823
471216.,0.0091381595,471216.,-1.2319897413,471216.,6.1174550056
471236.,-0.0017906146,471236.,-0.6566999555,471236.,5.9165024757
471256.,-0.0941286087,471256.,-0.8609496951,471256.,5.507625103
471276.,0.1757935435,471276.,-0.7764825225,471276.,5.5626697540
471296.,0.0368691981,471296.,-0.8929994106,471296.,5.2171664238
471316.,0.2057617456,471316.,-1.1805585623,471316.,5.2179164886
471336.,-0.0311778970,471336.,-1.1858974695,471336.,4.7606282234
471356.,0.1300985217,471356.,-0.8181293011,471356.,4.945640564
471376.,-0.1043437943,471376.,-1.0872699022,471376.,4.1435871124
471396.,0.1925438643,471396.,-1.2463557720,471396.,3.9916324615
471416.,0.1533987075,471416.,-0.9759672284,471416.,3.9767084122
471436.,0.0048842388,471436.,-1.0946891308,471436.,3.7960505486
471456.,-0.0692739412,471456.,-1.1516857147,471456.,3.2083857059
471476.,0.1788055152,471476.,-1.1266261339,471476.,2.8253612518
471496.,0.2817251682,471496.,-0.7416548729,471496.,2.8199138641
471516.,-0.0883665606,471516.,-0.8106167912,471516.,2.4396016598
471536.,-0.0792727545,471536.,-0.579163909,471536.,2.2429707050
471556.,0.115658395,471556.,-1.4520708323,471556.,2.0078446865
471576.,-0.2249420285,471576.,-0.8750880957,471576.,1.8765745163
471596.,-0.037637163,471596.,-0.7584430575,471596.,1.9556680918
471616.,0.039788913,471616.,-0.9504161477,471616.,1.2131956816
471636.,0.1716792881,471636.,-0.2965084612,471636.,0.8249207735
471656.,0.1848357022,471656.,-0.9709745646,471656.,0.9499760270
471676.,0.0647203177,471676.,-0.8936131597,471676.,0.5292102098
471696.,-0.1282276511,471696.,-0.9021049738,471696.,0.3997638524
471716.,0.0492630266,471716.,-0.7738839984,471716.,0.1845120192
471736.,-0.0014600529,471736.,-1.4078030586,471736.,0.0451875888
471756.,-0.1254887134,471756.,-0.9215723872,471756.,-0.7272358537
471776.,0.1183183193,471776.,-0.8965413570,471776.,-0.6167352796
471796.,0.0955728889,471796.,-1.1750174761,471796.,-0.8320506811
471816.,-0.1444358528,471816.,-0.6766599417,471816.,-1.5477070808
471836.,-0.189263016,471836.,-0.7686208487,471836.,-1.7652591467
471856.,-0.3267394006,471856.,-1.147941947,471856.,-1.8760240078
471876.,0.213325426,471876.,-0.8652096987,471876.,-1.9854333401
471896.,0.1951362342,471896.,-1.1580015421,471896.,-2.1423099041
471916.,0.0192777943,471916.,-1.1666822433,471916.,-2.6648776531
471936.,-0.0410654694,471936.,-1.3191361427,471936.,-2.1603627205
471956.,0.0630663708,471956.,-1.427385211,471956.,-3.0053398609
471976.,0.0185654517,471976.,-1.2770550251,471976.,-3.2207303047
471996.,0.0943694413,471996.,-1.0240900517,471996.,-3.5837182999
472016.,-0.0429899655,472016.,-0.769780159,472016.,-3.4985053539
472036.,-0.0301162284,472036.,-1.0346952677,472036.,-3.8586997986
472056.,0.0256046671,472056.,-1.1519020796,472056.,-4.0348286629
472076.,0.0819107592,472076.,-0.9128684998,472076.,-4.4153084755
472096.,-0.2766075432,472096.,-1.2742024660,472096.,-4.1672182083
472116.,0.0216411781,472116.,-1.2462147474,472116.,-4.7234563828
472136.,0.0925990045,472136.,-1.2087299824,472136.,-4.6872010231
472156.,-0.1087093279,472156.,-0.7485502362,472156.,-4.8251152039
472176.,-0.0463172346,472176.,-1.4035631418,472176.,-5.2035384178
472196.,0.0020498994,472196.,-0.6870082617,472196.,-5.6104092598
472216.,-0.0281344764,472216.,-1.2241283655,472216.,-5.5190052986
472236.,-0.0378397889,472236.,-1.1647187471,472236.,-5.6108808517
472256.,-0.0009592139,472256.,-1.0531412363,472256.,-5.8482341766
472276.,-0.1510053426,472276.,-1.1073276997,472276.,-6.5873417854
472296.,-0.1013414636,472296.,-1.1795967817,472296.,-6.3345293999
472316.,-0.3061448634,472316.,-1.3994820118,472316.,-6.2922959328
472336.,-0.2398406714,472336.,-1.1102645397,472336.,-6.2447853088
472356.,-0.1985411048,472356.,-1.0799498558,472356.,-6.5285177231
472376.,-0.0493335463,472376.,-1.3605396748,472376.,-6.4728517532
472396.,-0.2113659084,472396.,-0.7518115044,472396.,-6.8190646172
472416.,-0.004407438,472416.,-0.8415133357,472416.,-6.6056952477
472436.,-0.1793120950,472436.,-1.0649112463,472436.,-6.8591523170
472456.,-0.2919092178,472456.,-1.2315840721,472456.,-6.7197389603
472476.,-0.1945324987,472476.,-1.1334701777,472476.,-7.2619161606
472496.,-0.1037973613,472496.,-0.9509962797,472496.,-7.2168655396
472516.,0.0234062467,472516.,-1.0486804247,472516.,-7.3688826561
472536.,-0.1783723384,472536.,-1.155933857,472536.,-7.4163331985
472556.,-0.0756546780,472556.,-1.0791432858,472556.,-7.2952342033
472576.,0.0938949510,472576.,-0.6867192984,472576.,-7.4269471169
472596.,-0.0096111195,472596.,-1.2112619877,472596.,-7.4412508011
472616.,-0.0720310882,472616.,-0.9819093347,472616.,-7.500849247
472636.,-0.0849443525,472636.,-1.058652401,472636.,-7.2214875221
472656.,-0.1151806861,472656.,-1.5010621548,472656.,-7.5525116920
472676.,0.123414211,472676.,-0.9270320535,472676.,-7.0977234840
472696.,0.1905091554,472696.,-1.2935680151,472696.,-7.6543207169
472716.,0.1090400144,472716.,-1.3143113852,472716.,-7.4166054726
472736.,-0.0660266727,472736.,-1.5365533829,472736.,-7.2482576370
472756.,-0.4499159157,472756.,-1.080953002,472756.,-7.491291523
472776.,-0.1776784360,472776.,-1.1997679472,472776.,-7.0646657944
472796.,0.0044678939,472796.,-1.0591156483,472796.,-7.29743433
472816.,-0.0865215361,472816.,-0.9409630299,472816.,-7.3554697037
472836.,0.1057035476,472836.,-1.1676276922,472836.,-7.2324247360
472856.,-0.0322476886,472856.,-1.318433404,472856.,-7.0860619545
472876.,-0.1083092839,472876.,-1.1780734062,472876.,-6.8121051788
472896.,-0.0649498850,472896.,-1.4007774591,472896.,-6.7243013382
472916.,-0.0264941286,472916.,-1.0751181841,472916.,-6.6835455894
472936.,0.0903766304,472936.,-1.0647013187,472936.,-6.4559073448
472956.,0.1935712695,472956.,-1.4999706745,472956.,-6.2571778297
472976.,-0.0551803261,472976.,-0.9490675330,472976.,-6.2431774139
472996.,-0.1782948822,472996.,-1.0019102097,472996.,-6.2609877586
473016.,-0.0593772754,473016.,-1.1416628361,473016.,-6.1228384972
473036.,0.0121695790,473036.,-1.142636776,473036.,-5.8920164108
473056.,0.0419744290,473056.,-1.3822652102,473056.,-5.8292269707
473076.,-0.0478798077,473076.,-1.1610816717,473076.,-5.8748574257
473096.,0.0333436877,473096.,-1.5673462152,473096.,-5.5674548149
473116.,-0.1964605153,473116.,-1.0380254984,473116.,-5.3857531548
473136.,-0.1822721809,473136.,-1.0483944416,473136.,-4.6251134872
473156.,-0.0790996477,473156.,-1.059396863,473156.,-4.7698612213
473176.,-0.1396362185,473176.,-1.1036467552,473176.,-4.9702019691
473196.,-0.0616656356,473196.,-1.0368211269,473196.,-4.7124495506
473216.,-0.2183446586,473216.,-1.378584981,473216.,-4.2855730057
473236.,0.0531276986,473236.,-1.3726975918,473236.,-4.1978321075
473256.,-0.0596436821,473256.,-0.9947040081,473256.,-4.1408514977
473276.,-0.1722484976,473276.,-1.3404073715,473276.,-4.0876016617
473296.,0.0493377969,473296.,-1.1725876331,473296.,-3.8204500675
473316.,0.0451569073,473316.,-0.8715601563,473316.,-3.2933506966
473336.,0.0183838457,473336.,-0.9412161708,473336.,-3.0300805569
473356.,0.0559310764,473356.,-0.984290123,473356.,-3.0958795547
473376.,0.2293718904,473376.,-1.1579986811,473376.,-2.7699854374
473396.,-0.2455875278,473396.,-1.2449206114,473396.,-2.4196360111
473416.,-0.1040604338,473416.,-1.1470931768,473416.,-2.2270412445
473436.,-0.1387223899,473436.,-0.9854750633,473436.,-2.0720779896
473456.,-0.0643058717,473456.,-0.8265764713,473456.,-2.0728867054
473476.,-0.0053443303,473476.,-1.1436079741,473476.,-1.6535516977
473496.,-0.2710920870,473496.,-0.7600263953,473496.,-1.1533709764
473516.,-0.1242392063,473516.,-1.0466374159,473516.,-0.7512477040
473536.,0.2070596665,473536.,-0.7062724829,473536.,-0.6262903214
473556.,0.1526102126,473556.,-1.1765369177,473556.,-0.1138979942
473576.,-0.0218662638,473576.,-0.6946950555,473576.,0.0603321157
473596.,0.2516559064,473596.,-0.9090378284,473596.,-0.0002691266
473616.,0.0880741701,473616.,-0.6097836494,473616.,0.3360497952
473636.,-0.0429174677,473636.,-0.6931034923,473636.,0.7667589784
473656.,0.0292714033,473656.,-0.9957722425,473656.,0.8544911742
473676.,-0.1888806373,473676.,-0.8905044198,473676.,1.1962016821
473696.,0.1430530250,473696.,-0.4672870934,473696.,1.5704103708
473716.,-0.0369606838,473716.,-0.48489061,473716.,1.6179165840
473736.,0.0141642559,473736.,-0.9437556267,473736.,2.0983455181
473756.,0.206911847,473756.,-0.8727211356,473756.,2.2174034119
473776.,0.1073530093,473776.,-1.0738427639,473776.,2.5244605541
473796.,0.1766439527,473796.,-1.0348399878,473796.,2.8110053539
473816.,0.0935568213,473816.,-0.6017720699,473816.,3.182646513
473836.,0.3248870373,473836.,-0.7961685061,473836.,2.8048770428
473856.,0.152886346,473856.,-0.8787398934,473856.,3.3708534241
473876.,-0.0204234887,473876.,-0.8876979947,473876.,3.7579369545
473896.,0.0222201683,473896.,-0.8072917461,473896.,3.5975916386
473916.,-0.0669580325,473916.,-0.659899354,473916.,4.151802063
473936.,0.0141507061,473936.,-1.0656383038,473936.,4.3197393417
473956.,-0.0883282721,473956.,-0.8808235526,473956.,4.6011290550
473976.,-0.1318527460,473976.,-1.2349699736,473976.,4.6874475479
473996.,0.2007005066,473996.,-0.5282521248,473996.,5.0827260017
474016.,0.0768875256,474016.,-0.9848344922,474016.,5.1606898308
474036.,0.018380709,474036.,-0.9370169044,474036.,5.5417566299
474056.,-0.0787893683,474056.,-0.9449707866,474056.,5.8100686073
474076.,0.3251904249,474076.,-1.5472562313,474076.,6.2581591606
474096.,0.1201321408,474096.,-0.8767194748,474096.,5.8318309784
474116.,-0.0767145678,474116.,-1.4998350143,474116.,6.4157333374
474136.,0.0776408985,474136.,-1.0090175867,474136.,6.4069681168
474156.,-0.0642339736,474156.,-0.8150900602,474156.,6.7979993820
474176.,-0.2327117473,474176.,-0.9612312913,474176.,6.916615963
474196.,0.1288877577,474196.,-1.0574623346,474196.,7.2050175667
474216.,0.0940705687,474216.,-0.9891014099,474216.,7.2795071602
474236.,-0.014634314,474236.,-0.6921716332,474236.,7.2966518402
474256.,0.1346252263,474256.,-0.9601380229,474256.,7.7963361740
474276.,0.0771963149,474276.,-1.0034683943,474276.,8.0642404556
474296.,0.2565496862,474296.,-1.0431685448,474296.,7.8414921761
474316.,0.0968298465,474316.,-0.7883713245,474316.,8.0156450272
474336.,-0.1431766599,474336.,-1.1365216970,474336.,8.3367710114
474356.,0.1337367743,474356.,-1.0499792099,474356.,8.2277984619
474376.,0.0730089247,474376.,-0.6156402230,474376.,8.4363536835
474396.,0.0175530892,474396.,-0.8973196745,474396.,8.9606180191
474416.,0.2475248873,474416.,-1.0852701664,474416.,8.7546787262
474436.,0.1808836311,474436.,-0.3504660726,474436.,9.0401134491
474456.,0.0432517938,474456.,-1.040186286,474456.,9.151714325
474476.,0.0591453947,474476.,-0.7502914667,474476.,9.0815372467
474496.,-0.0543290712,474496.,-0.8830808997,474496.,9.0761346817
474516.,-0.0294288453,474516.,-0.5585023761,474516.,9.21043396
474536.,0.1675112247,474536.,-0.8374354839,474536.,9.2456378937
