k_ep,k_run,t,Policy_Trg_Action,Policy_Flip_Action,mu,sigma,policy,x,y,z,vx,vy,vz,D_perp,Tau,Tau_est,Theta_x,Theta_x_est,Theta_y,Theta_y_est,flip_flag,impact_flag,eul_x,eul_y,eul_z,wx,wy,wz,qx,qy,qz,qw,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: PARAM_OPTIM, SAR_Type: Source_One_V5, SAR_Config: Base_Model}, PLANE_SETTINGS: {Plane_Config: Checkerboard_L02}, 
# String Length: 23cm, String Distance: 41.5 mm
0,0,69.570,0.000,0.000,--,--,--,-0.035,-0.017,-2.166,-0.141,-0.073,-9.217, 4.075, 0.000, 0.000,-0.034, 0.000,-0.018,0.000,False,False, 0.005,-0.793, 0.793, 0.000,-0.010, 0.150, 0.000,-0.007, 0.007, 1.000, 10.426,-0.029, 0.113,-0.111, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,69.630,0.000,0.000,--,--,--,-0.001,-0.001, 0.000,-0.004,-0.002,-0.176, 2.000, 5.000, 0.000, 0.000, 0.000, 0.000,0.000,False,False,-0.000,-0.000, 0.159, 0.000, 0.010, 0.167, 0.000, 0.000, 0.001, 1.000, 10.426,-0.029, 0.113,-0.111, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,69.666,0.000,0.000,--,--,--,-0.001,-0.001,-0.023,-0.019,-0.009,-0.961, 2.034, 0.000, 0.000,-0.011, 0.000,-0.005,0.000,False,False,-0.000,-0.000, 0.476, 0.000, 0.000, 0.180, 0.000, 0.000, 0.004, 1.000, 10.426,-0.029, 0.113,-0.111, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,69.725,0.000,0.000,--,--,--,-0.003,-0.002,-0.116,-0.041,-0.020,-2.137, 2.096, 0.000, 0.000,-0.018, 0.000,-0.009,0.000,False,False,-0.000,-0.000, 1.110, 0.000, 0.000, 0.192, 0.000, 0.000, 0.010, 1.000, 10.426,-0.029, 0.113,-0.111, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,69.785,0.000,0.000,--,--,--,-0.006,-0.003,-0.280,-0.063,-0.030,-3.314, 2.138, 0.000, 0.000,-0.021, 0.000,-0.010,0.000,False,False,-0.000,-0.000, 1.744, 0.000, 0.000, 0.199, 0.000, 0.000, 0.015, 1.000, 7.576,-0.022, 0.016,-0.275, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,69.821,0.000,0.000,--,--,--,-0.009,-0.004,-0.428,-0.078,-0.038,-4.099, 2.470, 0.000, 0.000,-0.033, 0.000,-0.016,0.000,False,False,-0.000,-0.000, 2.220, 0.000,-0.010, 0.195, 0.000, 0.000, 0.019, 1.000, 7.576,-0.022, 0.016,-0.275, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,69.869,0.000,0.000,--,--,--,-0.012,-0.006,-0.608,-0.092,-0.044,-4.884, 2.560, 0.000, 0.000,-0.035, 0.000,-0.017,0.000,False,False, 0.159,-0.004, 2.696, 0.000,-0.010, 0.192, 0.001, 0.000, 0.024, 1.000, 7.576,-0.022, 0.016,-0.275, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,69.929,0.000,0.000,--,--,--,-0.018,-0.009,-0.936,-0.114,-0.055,-6.061, 2.876, 0.000, 0.000,-0.039, 0.000,-0.019,0.000,False,False, 0.159,-0.005, 3.330, 0.000,-0.010, 0.187, 0.001, 0.000, 0.029, 1.000, 7.576,-0.022, 0.016,-0.275, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
