k_ep,k_run,t,Policy_Trg_Action,Policy_Flip_Action,mu,sigma,policy,x,y,z,vx,vy,vz,D_perp,Tau,Tau_est,Theta_x,Theta_x_est,Theta_y,Theta_y_est,flip_flag,impact_flag,eul_x,eul_y,eul_z,wx,wy,wz,qx,qy,qz,qw,F_thrust,Mx,My,Mz,x_d.x,x_d.y,x_d.z,v_d.x,v_d.y,v_d.z,a_d.x,a_d.y,a_d.z,Error
# DATA_TYPE: EXP, SAR_SETTINGS: {Policy_Type: PARAM_OPTIM, SAR_Type: Source_One_V5, SAR_Config: Base_Model}, PLANE_SETTINGS: {Plane_Config: Checkerboard_L02}, 
0,0,412.639,0.000,0.000,--,--,--, 0.027, 0.008, 0.000, 0.132, 0.032, 0.000, 2.000, 0.000, 0.000, 0.068, 0.000, 0.016,0.000,False,False,-0.101, 1.106,-6.030,-0.020, 0.060,-0.127,-0.001, 0.010,-0.053, 0.999, 6.288, 0.094,-0.283, 0.435, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,412.723,0.000,0.000,--,--,--, 0.039, 0.010, 0.000, 0.164, 0.035, 0.000, 2.000, 0.000, 0.000, 0.084, 0.000, 0.017,0.000,False,False,-0.237, 1.416,-6.508,-0.010, 0.050,-0.068,-0.003, 0.012,-0.057, 0.998, 6.288, 0.094,-0.283, 0.435, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,412.771,0.000,0.000,--,--,--, 0.046, 0.012, 0.000, 0.181, 0.036, 0.000, 2.000, 0.000, 0.000, 0.088, 0.000, 0.018,0.000,False,False,-0.226, 1.575,-6.667, 0.000, 0.040,-0.038,-0.003, 0.014,-0.058, 0.998, 6.288, 0.094,-0.283, 0.435, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,412.830,0.000,0.000,--,--,--, 0.057, 0.014, 0.000, 0.209, 0.040, 0.000, 2.000, 0.000, 0.000, 0.102, 0.000, 0.019,0.000,False,False,-0.217, 1.735,-6.668,-0.010, 0.030, 0.007,-0.003, 0.015,-0.058, 0.998, 6.288, 0.094,-0.283, 0.435, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,412.842,0.000,0.000,--,--,--, 0.062, 0.015, 0.000, 0.219, 0.041,-0.001, 2.000, 0.000, 0.000, 0.117, 0.000, 0.021,0.000,False,False,-0.217, 1.735,-6.668,-0.020, 0.030, 0.020,-0.003, 0.015,-0.058, 0.998, 6.284, 0.099,-0.301, 0.298, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,412.926,0.000,0.000,--,--,--, 0.081, 0.018, 0.000, 0.261, 0.045,-0.002, 2.000, 0.000, 0.000, 0.127, 0.000, 0.022,0.000,False,False,-0.213, 1.894,-6.350,-0.010, 0.040, 0.089,-0.003, 0.017,-0.055, 0.998, 6.284, 0.099,-0.301, 0.298, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,412.950,0.000,0.000,--,--,--, 0.086, 0.019, 0.000, 0.271, 0.046,-0.002, 2.000, 0.000, 0.000, 0.133, 0.000, 0.022,0.000,False,False,-0.215, 1.894,-6.192,-0.010, 0.040, 0.112,-0.003, 0.017,-0.054, 0.998, 6.282, 0.074,-0.365, 0.191, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,413.022,0.000,0.000,--,--,--, 0.110, 0.023, 0.000, 0.318, 0.051,-0.002, 2.000, 0.000, 0.000, 0.162, 0.000, 0.026,0.000,False,False,-0.210, 2.213,-5.557,-0.010, 0.060, 0.179,-0.003, 0.019,-0.048, 0.999, 6.282, 0.074,-0.365, 0.191, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,413.070,0.000,0.000,--,--,--, 0.123, 0.025, 0.000, 0.342, 0.054,-0.003, 2.000, 0.000, 0.000, 0.168, 0.000, 0.026,0.000,False,False,-0.212, 2.372,-5.081,-0.010, 0.050, 0.207,-0.003, 0.021,-0.044, 0.999, 6.282, 0.074,-0.365, 0.191, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,413.130,0.000,0.000,--,--,--, 0.145, 0.029,-0.001, 0.379, 0.058,-0.004, 2.001, 0.000, 0.000, 0.186, 0.000, 0.028,0.000,False,False,-0.223, 2.531,-4.288,-0.010, 0.050, 0.255,-0.003, 0.022,-0.037, 0.999, 6.282, 0.074,-0.365, 0.191, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,413.142,0.000,0.000,--,--,--, 0.153, 0.030,-0.001, 0.392, 0.060,-0.003, 2.001, 0.000, 0.000, 0.206, 0.000, 0.031,0.000,False,False,-0.071, 2.536,-3.968, 0.000, 0.060, 0.273,-0.001, 0.022,-0.035, 0.999, 6.275, 0.077,-0.472,-0.097, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,413.225,0.000,0.000,--,--,--, 0.186, 0.035,-0.001, 0.445, 0.067,-0.004, 2.001, 0.000, 0.000, 0.219, 0.000, 0.033,0.000,False,False,-0.091, 2.853,-2.699, 0.000, 0.040, 0.332,-0.001, 0.025,-0.024, 0.999, 6.275, 0.077,-0.472,-0.097, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,413.249,0.000,0.000,--,--,--, 0.195, 0.036,-0.001, 0.459, 0.068,-0.004, 2.001, 0.000, 0.000, 0.226, 0.000, 0.033,0.000,False,False,-0.103, 2.853,-2.223, 0.000, 0.040, 0.344,-0.001, 0.025,-0.019, 1.000, 6.271, 0.074,-0.467,-0.259, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,413.321,0.000,0.000,--,--,--, 0.234, 0.042,-0.002, 0.514, 0.076,-0.006, 2.002, 0.000, 0.000, 0.260, 0.000, 0.038,0.000,False,False,-0.142, 3.012,-0.638, 0.000, 0.030, 0.390,-0.001, 0.026,-0.006, 1.000, 6.271, 0.074,-0.467,-0.259, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
0,0,413.369,0.000,0.000,--,--,--, 0.255, 0.045,-0.002, 0.543, 0.080,-0.007, 2.002, 0.000, 0.000, 0.267, 0.000, 0.039,0.000,False,False,-0.009, 3.172, 0.317,-0.010, 0.030, 0.423,-0.000, 0.028, 0.003, 1.000, 6.271, 0.074,-0.467,-0.259, 0.000, 0.000, 0.400, 0.000, 0.000, 0.000, 0.000, 0.000, 0.000,--
